,lga_name,lga_code,distance_to_melbourne_km,travel_time_to_melbourne_minutes,commercial_land_use_perc,industrial_land_use_perc,actual_ann_pop_chg_perc_2004_2014,proj_ann_pop_chg_2014_2024_rank,ppl_born_overseas_perc,new_settler_arrivals_per_100000_pop,ppl_who_feel_safe_on_streets_alone_perc,unemployment_rate_perc,median_household_income_aud,households_with_mortgage_stress_perc,rental_housing_that_is_affordable_perc,homeless_ppl_est_per_1000_pop,ppl_who_completed_a_higher_edu_qual_perc
38,Macedon Ranges (S),24130,55,38,0.1,0.2,1.5,25,13.5,64.9,75.1,3.3,1395,9.5,17.3,1.8,38.7
39,Manningham (C),24210,21,20,0.4,0.1,0.5,35,37.9,759.4,68.6,6.2,1467,10.6,2.1,1.7,55.7
40,Mansfield (S),24250,188,158,0.0,0.0,1.7,28,12.3,48.7,82.2,3.7,891,16.0,36.7,3.0,28.9
41,Maribyrnong (C),24330,9,10,5.7,14.7,2.6,7,43.1,1001.7,57.5,7.3,1257,9.4,4.1,8.9,59.1
42,Maroondah (C),24410,33,29,2.1,7.8,1.0,44,21.8,535.9,59.3,5.6,1308,8.5,4.1,3.9,40.5
43,Melbourne (C),24600,2,3,4.3,9.9,5.5,3,53.6,2147.2,69.2,4.7,1352,9.8,0.8,10.6,76.4
44,Melton (C),24650,43,35,0.3,1.5,6.3,4,29.3,736.2,53.6,7.6,1363,14.1,48.4,2.1,33.2
45,Mildura (RC),24780,541,386,0.0,0.0,0.7,43,10.8,258.3,56.5,8.3,878,11.9,72.9,4.9,26.8
46,Mitchell (S),24850,51,46,0.0,0.1,2.6,1,11.7,54.5,67.6,7.8,1170,12.8,63.4,2.9,24.7
47,Moira (S),24900,259,217,0.0,0.2,0.8,56,9.5,86.7,72.5,5.8,828,13.7,79.5,2.7,22.3
48,Monash (C),24970,23,22,2.2,3.9,1.2,49,46.7,1164.6,56.6,3.7,1321,11.3,2.6,4.7,58.9
49,Moonee Valley (C),25060,9,12,4.1,0.3,1.2,27,28.9,568.4,67.8,5.5,1377,7.3,2.6,3.5,55.0
50,Moorabool (S),25150,54,41,0.0,0.2,2.0,12,12.8,55.0,71.5,5.8,1183,11.4,60.5,2.5,29.1
51,Moreland (C),25250,8,10,2.8,5.8,1.7,19,36.0,872.2,57.3,7.2,1215,10.0,1.8,4.9,58.1
52,Mornington Peninsula (S),25340,54,52,0.2,0.5,1.2,26,19.2,121.6,67.5,5.4,1054,11.5,18.5,1.8,32.7
