,Year,Region,Suburb,Median
7532,2012,Outer Eastern Melbourne,ringwood,330.0
7533,2012,Outer Eastern Melbourne,rowville,395.0
7536,2012,South Eastern Melbourne,berwick,350.0
7537,2012,South Eastern Melbourne,cranbourne,330.0
7538,2012,South Eastern Melbourne,dandenong,290.0
7541,2012,South Eastern Melbourne,noble park,295.0
7542,2012,South Eastern Melbourne,pakenham,305.0
7543,2012,South Eastern Melbourne,springvale,315.0
7545,2012,Mornington Peninsula,frankston,300.0
7550,2012,Geelong,corio,250.0
7553,2012,Geelong,lara,320.0
7554,2012,Geelong,newtown,305.0
7555,2012,Geelong,north geelong,300.0
7556,2012,Ballarat,ballarat east,260.0
7560,2012,Bendigo,bendigo,275.0
7563,2012,Bendigo,north bendigo,275.0
7564,2012,Other Regional Centres,bairnsdale,260.0
7565,2012,Other Regional Centres,benalla,210.0
7566,2012,Other Regional Centres,castlemaine,285.0
7567,2012,Other Regional Centres,echuca,250.0
7568,2012,Other Regional Centres,hamilton,230.0
7569,2012,Other Regional Centres,horsham,225.0
7570,2012,Other Regional Centres,mildura,230.0
7572,2012,Other Regional Centres,morwell,180.0
7574,2012,Other Regional Centres,portland,230.0
7576,2012,Other Regional Centres,seymour,200.0
7577,2012,Other Regional Centres,shepparton,250.0
7578,2012,Other Regional Centres,swan hill,215.0
7579,2012,Other Regional Centres,torquay,390.0
7580,2012,Other Regional Centres,traralgon,250.0
7581,2012,Other Regional Centres,wangaratta,225.0
7582,2012,Other Regional Centres,warragul,260.0
7583,2012,Other Regional Centres,warrnambool,280.0
7584,2012,Other Regional Centres,wodonga,265.0
8024,2013,Inner Melbourne,armadale,395.0
8025,2013,Inner Melbourne,carlton north,500.0
8029,2013,Inner Melbourne,docklands,500.0
8030,2013,Inner Melbourne,east melbourne,460.0
8031,2013,Inner Melbourne,st kilda,360.0
8032,2013,Inner Melbourne,elwood,395.0
8033,2013,Inner Melbourne,fitzroy,510.0
8037,2013,Inner Melbourne,port melbourne,525.0
8040,2013,Inner Melbourne,south melbourne,495.0
8041,2013,Inner Melbourne,south yarra,400.0
8042,2013,Inner Melbourne,southbank,500.0
8043,2013,Inner Melbourne,st kilda,380.0
8044,2013,Inner Melbourne,toorak,450.0
8045,2013,Inner Eastern Melbourne,balwyn,460.0
8046,2013,Inner Eastern Melbourne,blackburn,380.0
8047,2013,Inner Eastern Melbourne,box hill,360.0
8053,2013,Inner Eastern Melbourne,clayton,350.0
8055,2013,Inner Eastern Melbourne,hawthorn east,395.0
8057,2013,Inner Eastern Melbourne,hawthorn,355.0
8058,2013,Inner Eastern Melbourne,kew,450.0
8059,2013,Inner Eastern Melbourne,mount waverley,420.0
8063,2013,Southern Melbourne,bentleigh,410.0
8064,2013,Southern Melbourne,brighton,630.0
8065,2013,Southern Melbourne,brighton east,585.0
8066,2013,Southern Melbourne,carnegie,350.0
8067,2013,Southern Melbourne,caulfield,385.0
8068,2013,Southern Melbourne,cheltenham,380.0
8069,2013,Southern Melbourne,elsternwick,390.0
8071,2013,Southern Melbourne,malvern,415.0
8072,2013,Southern Melbourne,malvern east,370.0
8075,2013,Outer Western Melbourne,altona,340.0
8076,2013,Outer Western Melbourne,footscray,330.0
8078,2013,Outer Western Melbourne,melton,270.0
8081,2013,Outer Western Melbourne,sunshine,296.0
8082,2013,Outer Western Melbourne,sydenham,345.0
8084,2013,Outer Western Melbourne,west footscray,320.0
8085,2013,Outer Western Melbourne,williamstown,450.0
8088,2013,North Western Melbourne,brunswick,400.0
8090,2013,North Western Melbourne,craigieburn,320.0
8091,2013,North Western Melbourne,brunswick,400.0
8092,2013,North Western Melbourne,essendon,350.0
8094,2013,North Western Melbourne,keilor,380.0
8098,2013,North Western Melbourne,sunbury,320.0
8099,2013,North Western Melbourne,brunswick west,320.0
8106,2013,North Eastern Melbourne,northcote,440.0
8107,2013,North Eastern Melbourne,preston,360.0
8108,2013,North Eastern Melbourne,reservoir,320.0
8110,2013,North Eastern Melbourne,thornbury,330.0
8111,2013,North Eastern Melbourne,whittlesea,330.0
8112,2013,Outer Eastern Melbourne,bayswater,335.0
8113,2013,Outer Eastern Melbourne,boronia,340.0
8115,2013,Outer Eastern Melbourne,ferntree gully,340.0
8116,2013,Outer Eastern Melbourne,ringwood,340.0
8117,2013,Outer Eastern Melbourne,rowville,400.0
8120,2013,South Eastern Melbourne,berwick,350.0
8121,2013,South Eastern Melbourne,cranbourne,340.0
8122,2013,South Eastern Melbourne,dandenong,300.0
8125,2013,South Eastern Melbourne,noble park,300.0
8126,2013,South Eastern Melbourne,pakenham,310.0
8127,2013,South Eastern Melbourne,springvale,320.0
8129,2013,Mornington Peninsula,frankston,300.0
8134,2013,Geelong,corio,250.0
8137,2013,Geelong,lara,320.0
8138,2013,Geelong,newtown,305.0
8139,2013,Geelong,north geelong,295.0
8140,2013,Ballarat,ballarat east,260.0
8144,2013,Bendigo,bendigo,270.0
8147,2013,Bendigo,north bendigo,285.0
8148,2013,Other Regional Centres,bairnsdale,260.0
8149,2013,Other Regional Centres,benalla,220.0
8150,2013,Other Regional Centres,castlemaine,300.0
8151,2013,Other Regional Centres,echuca,260.0
8152,2013,Other Regional Centres,hamilton,230.0
8153,2013,Other Regional Centres,horsham,235.0
8154,2013,Other Regional Centres,mildura,240.0
8156,2013,Other Regional Centres,morwell,188.0
8158,2013,Other Regional Centres,portland,230.0
8160,2013,Other Regional Centres,seymour,220.0
8161,2013,Other Regional Centres,shepparton,250.0
8162,2013,Other Regional Centres,swan hill,220.0
8163,2013,Other Regional Centres,torquay,400.0
8164,2013,Other Regional Centres,traralgon,260.0
8165,2013,Other Regional Centres,wangaratta,240.0
8166,2013,Other Regional Centres,warragul,270.0
8167,2013,Other Regional Centres,warrnambool,280.0
8168,2013,Other Regional Centres,wodonga,270.0
8608,2014,Inner Melbourne,armadale,400.0
8609,2014,Inner Melbourne,carlton north,520.0
8613,2014,Inner Melbourne,docklands,500.0
8614,2014,Inner Melbourne,east melbourne,460.0
8615,2014,Inner Melbourne,st kilda,360.0
8616,2014,Inner Melbourne,elwood,395.0
8617,2014,Inner Melbourne,fitzroy,499.0
8621,2014,Inner Melbourne,port melbourne,530.0
8624,2014,Inner Melbourne,south melbourne,500.0
8625,2014,Inner Melbourne,south yarra,410.0
8626,2014,Inner Melbourne,southbank,510.0
8627,2014,Inner Melbourne,st kilda,380.0
8628,2014,Inner Melbourne,toorak,450.0
8629,2014,Inner Eastern Melbourne,balwyn,480.0
8630,2014,Inner Eastern Melbourne,blackburn,390.0
8631,2014,Inner Eastern Melbourne,box hill,370.0
8637,2014,Inner Eastern Melbourne,clayton,360.0
8639,2014,Inner Eastern Melbourne,hawthorn east,400.0
8641,2014,Inner Eastern Melbourne,hawthorn,360.0
8642,2014,Inner Eastern Melbourne,kew,450.0
8643,2014,Inner Eastern Melbourne,mount waverley,430.0
8647,2014,Southern Melbourne,bentleigh,430.0
8648,2014,Southern Melbourne,brighton,599.0
8649,2014,Southern Melbourne,brighton east,580.0
8650,2014,Southern Melbourne,carnegie,360.0
8651,2014,Southern Melbourne,caulfield,399.0
8652,2014,Southern Melbourne,cheltenham,400.0
8653,2014,Southern Melbourne,elsternwick,400.0
8655,2014,Southern Melbourne,malvern,439.0
8656,2014,Southern Melbourne,malvern east,380.0
8659,2014,Outer Western Melbourne,altona,350.0
8660,2014,Outer Western Melbourne,footscray,330.0
8662,2014,Outer Western Melbourne,melton,280.0
8665,2014,Outer Western Melbourne,sunshine,300.0
8666,2014,Outer Western Melbourne,sydenham,350.0
8668,2014,Outer Western Melbourne,west footscray,330.0
8669,2014,Outer Western Melbourne,williamstown,440.0
8672,2014,North Western Melbourne,brunswick,400.0
8674,2014,North Western Melbourne,craigieburn,330.0
8675,2014,North Western Melbourne,brunswick,385.0
8676,2014,North Western Melbourne,essendon,350.0
8678,2014,North Western Melbourne,keilor,370.0
8682,2014,North Western Melbourne,sunbury,320.0
8683,2014,North Western Melbourne,brunswick west,330.0
8690,2014,North Eastern Melbourne,northcote,450.0
8691,2014,North Eastern Melbourne,preston,370.0
8692,2014,North Eastern Melbourne,reservoir,329.0
8694,2014,North Eastern Melbourne,thornbury,350.0
8695,2014,North Eastern Melbourne,whittlesea,330.0
8696,2014,Outer Eastern Melbourne,bayswater,340.0
8697,2014,Outer Eastern Melbourne,boronia,340.0
8699,2014,Outer Eastern Melbourne,ferntree gully,350.0
8700,2014,Outer Eastern Melbourne,ringwood,350.0
8701,2014,Outer Eastern Melbourne,rowville,400.0
8704,2014,South Eastern Melbourne,berwick,360.0
8705,2014,South Eastern Melbourne,cranbourne,350.0
8706,2014,South Eastern Melbourne,dandenong,310.0
8709,2014,South Eastern Melbourne,noble park,305.0
8710,2014,South Eastern Melbourne,pakenham,315.0
8711,2014,South Eastern Melbourne,springvale,330.0
8713,2014,Mornington Peninsula,frankston,310.0
8718,2014,Geelong,corio,250.0
8721,2014,Geelong,lara,325.0
8722,2014,Geelong,newtown,320.0
8723,2014,Geelong,north geelong,300.0
8724,2014,Ballarat,ballarat east,265.0
8728,2014,Bendigo,bendigo,280.0
8731,2014,Bendigo,north bendigo,275.0
8732,2014,Other Regional Centres,bairnsdale,270.0
8733,2014,Other Regional Centres,benalla,225.0
8734,2014,Other Regional Centres,castlemaine,300.0
8735,2014,Other Regional Centres,echuca,270.0
8736,2014,Other Regional Centres,hamilton,235.0
8737,2014,Other Regional Centres,horsham,250.0
8738,2014,Other Regional Centres,mildura,250.0
8740,2014,Other Regional Centres,morwell,190.0
8742,2014,Other Regional Centres,portland,230.0
8744,2014,Other Regional Centres,seymour,240.0
8745,2014,Other Regional Centres,shepparton,260.0
8746,2014,Other Regional Centres,swan hill,225.0
8747,2014,Other Regional Centres,torquay,410.0
8748,2014,Other Regional Centres,traralgon,270.0
8749,2014,Other Regional Centres,wangaratta,250.0
8750,2014,Other Regional Centres,warragul,280.0
8751,2014,Other Regional Centres,warrnambool,280.0
8752,2014,Other Regional Centres,wodonga,285.0
9192,2015,Inner Melbourne,armadale,400.0
9193,2015,Inner Melbourne,carlton north,530.0
9197,2015,Inner Melbourne,docklands,510.0
9198,2015,Inner Melbourne,east melbourne,473.0
9199,2015,Inner Melbourne,st kilda,375.0
9200,2015,Inner Melbourne,elwood,400.0
9201,2015,Inner Melbourne,fitzroy,525.0
9205,2015,Inner Melbourne,port melbourne,550.0
9208,2015,Inner Melbourne,south melbourne,499.0
9209,2015,Inner Melbourne,south yarra,425.0
9210,2015,Inner Melbourne,southbank,520.0
9211,2015,Inner Melbourne,st kilda,380.0
9212,2015,Inner Melbourne,toorak,460.0
9213,2015,Inner Eastern Melbourne,balwyn,497.0
9214,2015,Inner Eastern Melbourne,blackburn,395.0
9215,2015,Inner Eastern Melbourne,box hill,380.0
9221,2015,Inner Eastern Melbourne,clayton,365.0
9223,2015,Inner Eastern Melbourne,hawthorn east,400.0
9225,2015,Inner Eastern Melbourne,hawthorn,370.0
9226,2015,Inner Eastern Melbourne,kew,480.0
9227,2015,Inner Eastern Melbourne,mount waverley,450.0
9231,2015,Southern Melbourne,bentleigh,430.0
9232,2015,Southern Melbourne,brighton,640.0
9233,2015,Southern Melbourne,brighton east,610.0
9234,2015,Southern Melbourne,carnegie,370.0
9235,2015,Southern Melbourne,caulfield,400.0
9236,2015,Southern Melbourne,cheltenham,410.0
9237,2015,Southern Melbourne,elsternwick,400.0
9239,2015,Southern Melbourne,malvern,450.0
9240,2015,Southern Melbourne,malvern east,390.0
9243,2015,Outer Western Melbourne,altona,360.0
9244,2015,Outer Western Melbourne,footscray,330.0
9246,2015,Outer Western Melbourne,melton,287.0
9249,2015,Outer Western Melbourne,sunshine,310.0
9250,2015,Outer Western Melbourne,sydenham,360.0
9252,2015,Outer Western Melbourne,west footscray,340.0
9253,2015,Outer Western Melbourne,williamstown,461.0
9256,2015,North Western Melbourne,brunswick,420.0
9258,2015,North Western Melbourne,craigieburn,340.0
9259,2015,North Western Melbourne,brunswick,420.0
9260,2015,North Western Melbourne,essendon,360.0
9262,2015,North Western Melbourne,keilor,380.0
9266,2015,North Western Melbourne,sunbury,330.0
9267,2015,North Western Melbourne,brunswick west,335.0
9274,2015,North Eastern Melbourne,northcote,450.0
9275,2015,North Eastern Melbourne,preston,380.0
9276,2015,North Eastern Melbourne,reservoir,330.0
9278,2015,North Eastern Melbourne,thornbury,360.0
9279,2015,North Eastern Melbourne,whittlesea,340.0
9280,2015,Outer Eastern Melbourne,bayswater,350.0
9281,2015,Outer Eastern Melbourne,boronia,350.0
9283,2015,Outer Eastern Melbourne,ferntree gully,360.0
9284,2015,Outer Eastern Melbourne,ringwood,360.0
9285,2015,Outer Eastern Melbourne,rowville,410.0
9288,2015,South Eastern Melbourne,berwick,375.0
9289,2015,South Eastern Melbourne,cranbourne,355.0
9290,2015,South Eastern Melbourne,dandenong,315.0
9293,2015,South Eastern Melbourne,noble park,320.0
9294,2015,South Eastern Melbourne,pakenham,320.0
9295,2015,South Eastern Melbourne,springvale,350.0
9297,2015,Mornington Peninsula,frankston,320.0
9302,2015,Geelong,corio,250.0
9305,2015,Geelong,lara,330.0
9306,2015,Geelong,newtown,320.0
9307,2015,Geelong,north geelong,310.0
9308,2015,Ballarat,ballarat east,265.0
9312,2015,Bendigo,bendigo,280.0
9315,2015,Bendigo,north bendigo,280.0
9316,2015,Other Regional Centres,bairnsdale,275.0
9317,2015,Other Regional Centres,benalla,230.0
9318,2015,Other Regional Centres,castlemaine,305.0
9319,2015,Other Regional Centres,echuca,280.0
9320,2015,Other Regional Centres,hamilton,230.0
9321,2015,Other Regional Centres,horsham,250.0
9322,2015,Other Regional Centres,mildura,265.0
9324,2015,Other Regional Centres,morwell,200.0
9326,2015,Other Regional Centres,portland,230.0
9328,2015,Other Regional Centres,seymour,248.0
9329,2015,Other Regional Centres,shepparton,260.0
9330,2015,Other Regional Centres,swan hill,230.0
9331,2015,Other Regional Centres,torquay,430.0
9332,2015,Other Regional Centres,traralgon,270.0
9333,2015,Other Regional Centres,wangaratta,250.0
9334,2015,Other Regional Centres,warragul,280.0
9335,2015,Other Regional Centres,warrnambool,290.0
9336,2015,Other Regional Centres,wodonga,290.0
9776,2016,Inner Melbourne,armadale,410.0
9777,2016,Inner Melbourne,carlton north,523.0
9781,2016,Inner Melbourne,docklands,520.0
9782,2016,Inner Melbourne,east melbourne,475.0
9783,2016,Inner Melbourne,st kilda,390.0
9784,2016,Inner Melbourne,elwood,410.0
9785,2016,Inner Melbourne,fitzroy,525.0
9789,2016,Inner Melbourne,port melbourne,560.0
9792,2016,Inner Melbourne,south melbourne,500.0
9793,2016,Inner Melbourne,south yarra,450.0
9794,2016,Inner Melbourne,southbank,540.0
9795,2016,Inner Melbourne,st kilda,400.0
9796,2016,Inner Melbourne,toorak,460.0
9797,2016,Inner Eastern Melbourne,balwyn,508.0
9798,2016,Inner Eastern Melbourne,blackburn,410.0
9799,2016,Inner Eastern Melbourne,box hill,400.0
9805,2016,Inner Eastern Melbourne,clayton,375.0
9807,2016,Inner Eastern Melbourne,hawthorn east,410.0
9809,2016,Inner Eastern Melbourne,hawthorn,380.0
9810,2016,Inner Eastern Melbourne,kew,480.0
9811,2016,Inner Eastern Melbourne,mount waverley,460.0
9815,2016,Southern Melbourne,bentleigh,450.0
9816,2016,Southern Melbourne,brighton,580.0
9817,2016,Southern Melbourne,brighton east,635.0
9818,2016,Southern Melbourne,carnegie,385.0
9819,2016,Southern Melbourne,caulfield,435.0
9820,2016,Southern Melbourne,cheltenham,430.0
9821,2016,Southern Melbourne,elsternwick,395.0
9823,2016,Southern Melbourne,malvern,470.0
9824,2016,Southern Melbourne,malvern east,400.0
9827,2016,Outer Western Melbourne,altona,375.0
9828,2016,Outer Western Melbourne,footscray,350.0
9830,2016,Outer Western Melbourne,melton,300.0
9833,2016,Outer Western Melbourne,sunshine,320.0
9834,2016,Outer Western Melbourne,sydenham,370.0
9836,2016,Outer Western Melbourne,west footscray,360.0
9837,2016,Outer Western Melbourne,williamstown,490.0
9840,2016,North Western Melbourne,brunswick,430.0
9842,2016,North Western Melbourne,craigieburn,350.0
9843,2016,North Western Melbourne,brunswick,400.0
9844,2016,North Western Melbourne,essendon,380.0
9846,2016,North Western Melbourne,keilor,418.0
9850,2016,North Western Melbourne,sunbury,335.0
9851,2016,North Western Melbourne,brunswick west,350.0
9858,2016,North Eastern Melbourne,northcote,450.0
9859,2016,North Eastern Melbourne,preston,390.0
9860,2016,North Eastern Melbourne,reservoir,345.0
9862,2016,North Eastern Melbourne,thornbury,365.0
9863,2016,North Eastern Melbourne,whittlesea,350.0
9864,2016,Outer Eastern Melbourne,bayswater,350.0
9865,2016,Outer Eastern Melbourne,boronia,360.0
9867,2016,Outer Eastern Melbourne,ferntree gully,370.0
9868,2016,Outer Eastern Melbourne,ringwood,370.0
9869,2016,Outer Eastern Melbourne,rowville,420.0
9872,2016,South Eastern Melbourne,berwick,380.0
9873,2016,South Eastern Melbourne,cranbourne,370.0
9874,2016,South Eastern Melbourne,dandenong,320.0
9877,2016,South Eastern Melbourne,noble park,325.0
9878,2016,South Eastern Melbourne,pakenham,335.0
9879,2016,South Eastern Melbourne,springvale,360.0
9881,2016,Mornington Peninsula,frankston,330.0
9886,2016,Geelong,corio,250.0
9889,2016,Geelong,lara,340.0
9890,2016,Geelong,newtown,340.0
9891,2016,Geelong,north geelong,310.0
9892,2016,Ballarat,ballarat east,270.0
9896,2016,Bendigo,bendigo,270.0
9899,2016,Bendigo,north bendigo,280.0
9900,2016,Other Regional Centres,bairnsdale,280.0
9901,2016,Other Regional Centres,benalla,233.0
9902,2016,Other Regional Centres,castlemaine,310.0
9903,2016,Other Regional Centres,echuca,300.0
9904,2016,Other Regional Centres,hamilton,230.0
9905,2016,Other Regional Centres,horsham,250.0
9906,2016,Other Regional Centres,mildura,273.0
9908,2016,Other Regional Centres,morwell,200.0
9910,2016,Other Regional Centres,portland,230.0
9912,2016,Other Regional Centres,seymour,250.0
9913,2016,Other Regional Centres,shepparton,270.0
9914,2016,Other Regional Centres,swan hill,240.0
9915,2016,Other Regional Centres,torquay,450.0
9916,2016,Other Regional Centres,traralgon,270.0
9917,2016,Other Regional Centres,wangaratta,260.0
9918,2016,Other Regional Centres,warragul,300.0
9919,2016,Other Regional Centres,warrnambool,290.0
9920,2016,Other Regional Centres,wodonga,290.0
10360,2017,Inner Melbourne,armadale,470.0
10361,2017,Inner Melbourne,carlton north,560.0
10365,2017,Inner Melbourne,docklands,540.0
10366,2017,Inner Melbourne,east melbourne,500.0
10367,2017,Inner Melbourne,st kilda,400.0
10368,2017,Inner Melbourne,elwood,420.0
10369,2017,Inner Melbourne,fitzroy,533.0
10373,2017,Inner Melbourne,port melbourne,590.0
10376,2017,Inner Melbourne,south melbourne,520.0
10377,2017,Inner Melbourne,south yarra,450.0
10378,2017,Inner Melbourne,southbank,540.0
10379,2017,Inner Melbourne,st kilda,415.0
10380,2017,Inner Melbourne,toorak,495.0
10381,2017,Inner Eastern Melbourne,balwyn,500.0
10382,2017,Inner Eastern Melbourne,blackburn,420.0
10383,2017,Inner Eastern Melbourne,box hill,410.0
10389,2017,Inner Eastern Melbourne,clayton,390.0
10391,2017,Inner Eastern Melbourne,hawthorn east,430.0
10393,2017,Inner Eastern Melbourne,hawthorn,385.0
10394,2017,Inner Eastern Melbourne,kew,483.0
10395,2017,Inner Eastern Melbourne,mount waverley,475.0
10399,2017,Southern Melbourne,bentleigh,480.0
10400,2017,Southern Melbourne,brighton,650.0
10401,2017,Southern Melbourne,brighton east,668.0
10402,2017,Southern Melbourne,carnegie,415.0
10403,2017,Southern Melbourne,caulfield,440.0
10404,2017,Southern Melbourne,cheltenham,450.0
10405,2017,Southern Melbourne,elsternwick,420.0
10407,2017,Southern Melbourne,malvern,460.0
10408,2017,Southern Melbourne,malvern east,420.0
10411,2017,Outer Western Melbourne,altona,390.0
10412,2017,Outer Western Melbourne,footscray,370.0
10414,2017,Outer Western Melbourne,melton,320.0
10417,2017,Outer Western Melbourne,sunshine,340.0
10418,2017,Outer Western Melbourne,sydenham,390.0
10420,2017,Outer Western Melbourne,west footscray,375.0
10421,2017,Outer Western Melbourne,williamstown,480.0
10424,2017,North Western Melbourne,brunswick,450.0
10426,2017,North Western Melbourne,craigieburn,360.0
10427,2017,North Western Melbourne,brunswick,443.0
10428,2017,North Western Melbourne,essendon,390.0
10430,2017,North Western Melbourne,keilor,400.0
10434,2017,North Western Melbourne,sunbury,350.0
10435,2017,North Western Melbourne,brunswick west,360.0
10442,2017,North Eastern Melbourne,northcote,475.0
10443,2017,North Eastern Melbourne,preston,400.0
10444,2017,North Eastern Melbourne,reservoir,360.0
10446,2017,North Eastern Melbourne,thornbury,400.0
10447,2017,North Eastern Melbourne,whittlesea,360.0
10448,2017,Outer Eastern Melbourne,bayswater,370.0
10449,2017,Outer Eastern Melbourne,boronia,370.0
10451,2017,Outer Eastern Melbourne,ferntree gully,395.0
10452,2017,Outer Eastern Melbourne,ringwood,385.0
10453,2017,Outer Eastern Melbourne,rowville,441.0
10456,2017,South Eastern Melbourne,berwick,390.0
10457,2017,South Eastern Melbourne,cranbourne,380.0
10458,2017,South Eastern Melbourne,dandenong,335.0
10461,2017,South Eastern Melbourne,noble park,340.0
10462,2017,South Eastern Melbourne,pakenham,350.0
10463,2017,South Eastern Melbourne,springvale,375.0
10465,2017,Mornington Peninsula,frankston,350.0
10470,2017,Geelong,corio,260.0
10473,2017,Geelong,lara,360.0
10474,2017,Geelong,newtown,350.0
10475,2017,Geelong,north geelong,330.0
10476,2017,Ballarat,ballarat east,280.0
10480,2017,Bendigo,bendigo,280.0
10483,2017,Bendigo,north bendigo,280.0
10484,2017,Other Regional Centres,bairnsdale,280.0
10485,2017,Other Regional Centres,benalla,250.0
10486,2017,Other Regional Centres,castlemaine,320.0
10487,2017,Other Regional Centres,echuca,290.0
10488,2017,Other Regional Centres,hamilton,235.0
10489,2017,Other Regional Centres,horsham,260.0
10490,2017,Other Regional Centres,mildura,280.0
10492,2017,Other Regional Centres,morwell,205.0
10494,2017,Other Regional Centres,portland,240.0
10496,2017,Other Regional Centres,seymour,265.0
10497,2017,Other Regional Centres,shepparton,270.0
10498,2017,Other Regional Centres,swan hill,245.0
10499,2017,Other Regional Centres,torquay,470.0
10500,2017,Other Regional Centres,traralgon,280.0
10501,2017,Other Regional Centres,wangaratta,270.0
10502,2017,Other Regional Centres,warragul,310.0
10503,2017,Other Regional Centres,warrnambool,295.0
10504,2017,Other Regional Centres,wodonga,300.0
10944,2018,Inner Melbourne,armadale,480.0
10945,2018,Inner Melbourne,carlton north,575.0
10949,2018,Inner Melbourne,docklands,550.0
10950,2018,Inner Melbourne,east melbourne,500.0
10951,2018,Inner Melbourne,st kilda,415.0
10952,2018,Inner Melbourne,elwood,440.0
10953,2018,Inner Melbourne,fitzroy,570.0
10957,2018,Inner Melbourne,port melbourne,615.0
10960,2018,Inner Melbourne,south melbourne,530.0
10961,2018,Inner Melbourne,south yarra,470.0
10962,2018,Inner Melbourne,southbank,545.0
10963,2018,Inner Melbourne,st kilda,420.0
10964,2018,Inner Melbourne,toorak,500.0
10965,2018,Inner Eastern Melbourne,balwyn,530.0
10966,2018,Inner Eastern Melbourne,blackburn,430.0
10967,2018,Inner Eastern Melbourne,box hill,445.0
10973,2018,Inner Eastern Melbourne,clayton,400.0
10975,2018,Inner Eastern Melbourne,hawthorn east,450.0
10977,2018,Inner Eastern Melbourne,hawthorn,400.0
10978,2018,Inner Eastern Melbourne,kew,510.0
10979,2018,Inner Eastern Melbourne,mount waverley,500.0
10983,2018,Southern Melbourne,bentleigh,495.0
10984,2018,Southern Melbourne,brighton,630.0
10985,2018,Southern Melbourne,brighton east,690.0
10986,2018,Southern Melbourne,carnegie,425.0
10987,2018,Southern Melbourne,caulfield,460.0
10988,2018,Southern Melbourne,cheltenham,455.0
10989,2018,Southern Melbourne,elsternwick,430.0
10991,2018,Southern Melbourne,malvern,495.0
10992,2018,Southern Melbourne,malvern east,435.0
10995,2018,Outer Western Melbourne,altona,400.0
10996,2018,Outer Western Melbourne,footscray,375.0
10998,2018,Outer Western Melbourne,melton,335.0
11001,2018,Outer Western Melbourne,sunshine,350.0
11002,2018,Outer Western Melbourne,sydenham,400.0
11004,2018,Outer Western Melbourne,west footscray,380.0
11005,2018,Outer Western Melbourne,williamstown,520.0
11008,2018,North Western Melbourne,brunswick,465.0
11010,2018,North Western Melbourne,craigieburn,380.0
11011,2018,North Western Melbourne,brunswick,435.0
11012,2018,North Western Melbourne,essendon,400.0
11014,2018,North Western Melbourne,keilor,450.0
11018,2018,North Western Melbourne,sunbury,370.0
11019,2018,North Western Melbourne,brunswick west,375.0
11026,2018,North Eastern Melbourne,northcote,500.0
11027,2018,North Eastern Melbourne,preston,420.0
11028,2018,North Eastern Melbourne,reservoir,370.0
11030,2018,North Eastern Melbourne,thornbury,420.0
11031,2018,North Eastern Melbourne,whittlesea,380.0
11032,2018,Outer Eastern Melbourne,bayswater,380.0
11033,2018,Outer Eastern Melbourne,boronia,390.0
11035,2018,Outer Eastern Melbourne,ferntree gully,400.0
11036,2018,Outer Eastern Melbourne,ringwood,400.0
11037,2018,Outer Eastern Melbourne,rowville,450.0
11040,2018,South Eastern Melbourne,berwick,400.0
11041,2018,South Eastern Melbourne,cranbourne,380.0
11042,2018,South Eastern Melbourne,dandenong,350.0
11045,2018,South Eastern Melbourne,noble park,350.0
11046,2018,South Eastern Melbourne,pakenham,350.0
11047,2018,South Eastern Melbourne,springvale,385.0
11049,2018,Mornington Peninsula,frankston,360.0
11054,2018,Geelong,corio,280.0
11057,2018,Geelong,lara,380.0
11058,2018,Geelong,newtown,375.0
11059,2018,Geelong,north geelong,340.0
11060,2018,Ballarat,ballarat east,295.0
11064,2018,Bendigo,bendigo,300.0
11067,2018,Bendigo,north bendigo,295.0
11068,2018,Other Regional Centres,bairnsdale,295.0
11069,2018,Other Regional Centres,benalla,260.0
11070,2018,Other Regional Centres,castlemaine,330.0
11071,2018,Other Regional Centres,echuca,300.0
11072,2018,Other Regional Centres,hamilton,240.0
11073,2018,Other Regional Centres,horsham,265.0
11074,2018,Other Regional Centres,mildura,290.0
11076,2018,Other Regional Centres,morwell,210.0
11078,2018,Other Regional Centres,portland,260.0
11080,2018,Other Regional Centres,seymour,278.0
11081,2018,Other Regional Centres,shepparton,280.0
11082,2018,Other Regional Centres,swan hill,250.0
11083,2018,Other Regional Centres,torquay,495.0
11084,2018,Other Regional Centres,traralgon,280.0
11085,2018,Other Regional Centres,wangaratta,280.0
11086,2018,Other Regional Centres,warragul,330.0
11087,2018,Other Regional Centres,warrnambool,300.0
11088,2018,Other Regional Centres,wodonga,310.0
11528,2019,Inner Melbourne,armadale,485.0
11529,2019,Inner Melbourne,carlton north,580.0
11533,2019,Inner Melbourne,docklands,580.0
11534,2019,Inner Melbourne,east melbourne,550.0
11535,2019,Inner Melbourne,st kilda,425.0
11536,2019,Inner Melbourne,elwood,450.0
11537,2019,Inner Melbourne,fitzroy,590.0
11541,2019,Inner Melbourne,port melbourne,620.0
11544,2019,Inner Melbourne,south melbourne,550.0
11545,2019,Inner Melbourne,south yarra,495.0
11546,2019,Inner Melbourne,southbank,560.0
11547,2019,Inner Melbourne,st kilda,430.0
11548,2019,Inner Melbourne,toorak,500.0
11549,2019,Inner Eastern Melbourne,balwyn,550.0
11550,2019,Inner Eastern Melbourne,blackburn,450.0
11551,2019,Inner Eastern Melbourne,box hill,450.0
11557,2019,Inner Eastern Melbourne,clayton,420.0
11559,2019,Inner Eastern Melbourne,hawthorn east,450.0
11561,2019,Inner Eastern Melbourne,hawthorn,410.0
11562,2019,Inner Eastern Melbourne,kew,520.0
