,coordinates,cost_text,name,rooms
4318,"[-37.779712, 144.9412621]",770.0,6 Carrangall Place Parkville VIC 3052,"['3 Beds', '2 Baths', '2 Parking']"
4319,"[-37.7864463, 144.9572316]",550.0,10/78 The Avenue Parkville VIC 3052,"['3 Beds', '1 Bath', '1 Parking']"
4320,"[-37.7858697, 144.9574623]",420.0,12/92 The Avenue Parkville VIC 3052,"['2 Beds', '1 Bath', '1 Parking']"
4321,"[-37.7825076, 144.9589035]",360.0,316/445 Royal Parade Parkville VIC 3052,"['1 Bed', '1 Bath', '1 Parking']"
4322,"[-37.7786173, 144.9393063]",480.0,904/91 Galada Avenue Parkville VIC 3052,"['2 Beds', '2 Baths', '1 Parking']"
4323,"[-37.7786173, 144.9393063]",450.0,804/91 Galada Avenue Parkville VIC 3052,"['2 Beds', '2 Baths', '1 Parking']"
4324,"[-37.7784877, 144.9391165]",490.0,104/94 Cade Way Parkville VIC 3052,"['2 Beds', '2 Baths', '1 Parking']"
4325,"[-37.7811373, 144.959326]",625.0,27/495 Royal Parade Parkville VIC 3052,"['3 Beds', '1 Bath', '1 Parking']"
4326,"[-37.7851361, 144.9584733]",340.0,5/361 Royal Parade Parkville VIC 3052,"['1 Bed', '1 Bath', '1 Parking']"
4327,"[-37.7851361, 144.9584733]",625.0,19/361 Royal Parade Parkville VIC 3052,"['3 Beds', '1 Bath', '1 Parking']"
4328,"[-37.7829335, 144.9575056]",485.0,8/196 The Avenue Parkville VIC 3052,"['2 Beds', '1 Bath']"
4329,"[-37.795505, 144.957196]",850.0,16 Morrah Street Parkville VIC 3052,"['3 Beds', '1 Bath']"
4330,"[-37.7793367, 144.9390596]",410.0,210/77 Galada Avenue Parkville VIC 3052,"['2 Beds', '1 Bath', '1 Parking']"
4331,"[-37.7753709, 144.9486481]",275.0,B47/415 Brunswick Road Parkville VIC 3052,"['1 Bed', '1 Bath']"
4332,"[-37.7946034, 144.9571934]",1495.0,72 Fitzgibbon Street Parkville VIC 3052,"['4 Beds', '2 Baths']"
4333,"[-37.777016, 144.9543434]",295.0,787 Park Street Parkville VIC 3052,"['1 Bed', '1 Bath']"
4334,"[-37.7821863, 144.9588174]",550.0,308/459 Royal Parade Parkville VIC 3052,"['2 Beds', '2 Baths', '1 Parking']"
4335,"[-37.780094, 144.9395466]",450.0,313/61 Galada Avenue Parkville VIC 3052,"['2 Beds', '1 Bath', '1 Parking']"
4336,"[-37.7827119, 144.9577849]",460.0,46/202 The Avenue Parkville VIC 3052,"['2 Beds', '1 Bath', '1 Parking']"
4337,"[-37.781196, 144.9418287]",1000.0,97 Oak Street Parkville VIC 3052,"['5 Beds', '2 Baths', '2 Parking']"
4338,"[-37.7760972, 144.9415896]",950.0,22 Sauvage Street Parkville VIC 3052,"['5 Beds', '2 Baths', '2 Parking']"
4339,"[-37.7786173, 144.9393063]",480.0,1205/91 Galada Avenue Parkville VIC 3052,"['2 Beds', '2 Baths', '1 Parking']"
4340,"[-37.7786173, 144.9393063]",430.0,1111/91 Galada Avenue Parkville VIC 3052,"['1 Bed', '1 Bath', '1 Parking']"
4341,"[-37.7883342, 144.9428365]",400.0,20/7 Manningham Street Parkville VIC 3052,"['2 Beds', '1 Bath', '1 Parking']"
4342,"[-37.7860962, 144.9584518]",520.0,3/311 Royal Parade Parkville VIC 3052,"['2 Beds', '1 Bath', '1 Parking']"
4343,"[-37.7786173, 144.9393063]",495.0,814/91 Galada Avenue Parkville VIC 3052,"['2 Beds', '2 Baths', '1 Parking']"
4344,"[-38.4498234, 143.6860841]",860.0,2045 Colac-Forrest Road Gerangamete VIC 3249,"['3 Beds', '1 Bath', '4 Parking']"
4345,"[-37.82706350000001, 144.8349033]",750.0,31a Knapp St Altona North VIC 3025,"['3 Beds', '3 Baths', '2 Parking']"
4346,"[-37.8287048, 144.8374163]",460.0,11 Carthy Street Altona North VIC 3025,"['3 Beds', '1 Bath', '2 Parking']"
4347,"[-37.8264754, 144.844517]",490.0,36 Duosa Road Altona North VIC 3025,"['3 Beds', '1 Bath', '2 Parking']"
4348,"[-37.8330018, 144.8614225]",560.0,42A The Broadway Altona North VIC 3025,"['3 Beds', '2 Baths', '1 Parking']"
4349,"[-37.8289778, 144.8495958]",400.0,27 Valerian Avenue Altona North VIC 3025,"['3 Beds', '1 Bath', '2 Parking']"
4350,"[-37.839037, 144.8487365]",460.0,73 Sixth Avenue Altona North VIC 3025,"['3 Beds', '1 Bath', '2 Parking']"
4351,"[-37.8354326, 144.8490158]",585.0,114A Seventh Avenue Altona North VIC 3025,"['3 Beds', '2 Baths', '2 Parking']"
4352,"[-37.840419, 144.8430655]",600.0,29A Bunting Court Altona North VIC 3025,"['3 Beds', '2 Baths', '1 Parking']"
4353,"[-37.8348916, 144.8545368]",400.0,71 First Avenue Altona North VIC 3025,"['3 Beds', '1 Bath', '3 Parking']"
4354,"[-37.8298587, 144.8488654]",390.0,141 Millers Road Altona North VIC 3025,"['2 Beds', '1 Bath', '4 Parking']"
4355,"[-37.8311951, 144.8544938]",550.0,4 Amaranth Avenue Altona North VIC 3025,"['3 Beds', '2 Baths', '2 Parking']"
4356,"[-37.8413479, 144.8418089]",560.0,8A Chambers Road Altona North VIC 3025,"['3 Beds', '2 Baths', '3 Parking']"
4357,"[-37.8334504, 144.8481481]",550.0,181a Millers Road Altona North VIC 3025,"['3 Beds', '3 Baths', '2 Parking']"
4358,"[-37.8337107, 144.8482424]",460.0,4/185 Millers Road Altona North VIC 3025,"['2 Beds', '2 Baths', '1 Parking']"
4359,"[-37.8344585, 144.8443973]",565.0,10A Murphy Street Altona North VIC 3025,"['3 Beds', '2 Baths', '1 Parking']"
4360,"[-37.8426772, 144.854279]",570.0,1/54A Mills Street Altona North VIC 3025,"['3 Beds', '2 Baths', '2 Parking']"
4361,"[-37.8382024, 144.8620954]",580.0,3 Farrington Avenue Altona North VIC 3025,"['3 Beds', '2 Baths']"
4362,"[-37.8380693, 144.8589026]",510.0,5 Bright Avenue Altona North VIC 3025,"['3 Beds', '2 Baths', '1 Parking']"
4363,"[-37.8366176, 144.843087]",650.0,41 Ginifer Avenue Altona North VIC 3025,"['4 Beds', '2 Baths', '1 Parking']"
4364,"[-37.8285429, 144.8346456]",460.0,11 Knapp Street Altona North VIC 3025,"['3 Beds', '2 Baths', '2 Parking']"
4365,"[-37.8407959, 144.8626579]",450.0,11 Abbeygate Street Altona North VIC 3025,"['4 Beds', '2 Baths', '3 Parking']"
4366,"[-37.828447, 144.8548805]",420.0,18 Cyclamen Avenue Altona North VIC 3025,"['3 Beds', '1 Bath', '1 Parking']"
4367,"[-37.840835, 144.847527]",350.0,55A Seventh Ave Altona North VIC 3025,"['3 Beds', '1 Bath', '1 Parking']"
4368,"[-37.8439377, 144.8498536]",400.0,114 McIntosh Road Altona North VIC 3025,"['3 Beds', '1 Bath', '2 Parking']"
4369,"[-37.8296775, 144.8495098]",600.0,17 Valerian Ave Altona North VIC 3025,"['3 Beds', '2 Baths', '2 Parking']"
4370,"[-37.8257726, 144.8427648]",360.0,59 Irwin Ave Altona North VIC 3025,"['3 Beds', '1 Bath', '2 Parking']"
4371,"[-37.8330124, 144.8512714]",480.0,110A Fifth Avenue Altona North VIC 3025,"['3 Beds', '2 Baths', '2 Parking']"
4372,"[-37.8295008, 144.8506484]",545.0,2/21 Mahon Avenue Altona North VIC 3025,"['3 Beds', '2 Baths', '2 Parking']"
4373,"[-37.8345882, 144.8651932]",450.0,2/73 Hansen Street Altona North VIC 3025,"['2 Beds', '2 Baths', '1 Parking']"
4374,"[-37.8344585, 144.8443973]",580.0,1/10 Murphy Street Altona North VIC 3025,"['3 Beds', '2 Baths', '2 Parking']"
4375,"[-37.8381832, 144.8620808]",600.0,5 Farrington Avenue Altona North VIC 3025,"['3 Beds', '2 Baths', '2 Parking']"
4376,"[-37.8336975, 144.8511425]",530.0,108B Fifth Avenue Altona North VIC 3025,"['3 Beds', '2 Baths', '1 Parking']"
4377,"[-37.846266299999996, 144.8477054]",460.0,1/25 Ross Road Altona North VIC 3025,"['4 Beds', '2 Baths', '1 Parking']"
4378,"[-37.8326925, 144.8585403]",500.0,70 MacDonald Avenue Altona North VIC 3025,"['3 Beds', '1 Bath', '1 Parking']"
4379,"[-37.827628, 144.837936]",450.0,8 Gadsden Street Altona North VIC 3025,"['3 Beds', '1 Bath', '1 Parking']"
4380,"[-38.37248599999999, 145.122687]",550.0,5/3070 Frankston Flinders Road Balnarring VIC 3926,"['3 Beds', '1 Bath', '1 Parking']"
4381,"[-38.3735452, 145.1234872]",530.0,10/3056 Frankston Flinders Road Balnarring VIC 3926,"['2 Beds', '2 Baths', '1 Parking']"
4382,"[-38.372304, 145.1285406]",490.0,1/2986 Frankston Flinders Balnarring VIC 3926,"['3 Beds', '2 Baths', '2 Parking']"
4383,"[-38.3721763, 145.1287073]",750.0,3/2986 Frankston Flinders Road Balnarring VIC 3926,"['3 Beds', '2 Baths', '1 Parking']"
4384,"[-38.3715822, 145.1151901]",525.0,25 Pacific Dr Balnarring VIC 3926,"['2 Beds', '1 Bath']"
4385,"[-38.3997481, 145.1048468]",795.0,1 Bluff Rd Merricks Beach VIC 3926,"['3 Beds', '2 Baths', '2 Parking']"
4386,"[-37.8028683, 145.3056663]",480.0,2/13 Browning Street Kilsyth VIC 3137,"['2 Beds', '2 Baths', '1 Parking']"
4387,"[-37.8038107, 145.3249121]",500.0,32 Tamworth Road Kilsyth VIC 3137,"['4 Beds', '1 Bath', '1 Parking']"
4388,"[-37.8037917, 145.3115877]",370.0,8/12 Mountain View Road Kilsyth VIC 3137,"['2 Beds', '1 Bath', '1 Parking']"
4389,"[-37.80546229999999, 145.3058175]",380.0,15 Byron Road Kilsyth VIC 3137,"['3 Beds', '1 Bath', '1 Parking']"
4390,"[-37.8329415, 145.3045009]",520.0,15 Collier Road Kilsyth VIC 3137,"['4 Beds', '2 Baths', '1 Parking']"
4391,"[-37.7994609, 145.3069845]",390.0,9/17-23 Ervin Road Kilsyth VIC 3137,"['2 Beds', '1 Bath', '2 Parking']"
4392,"[-38.6705544, 146.6938372]",350.0,1/10 Bay Street Port Albert VIC 3971,"['2 Beds', '2 Baths', '1 Parking']"
4393,"[-37.7521184, 145.0020814]",430.0,212/2 Plenty Road Preston VIC 3072,"['2 Beds', '2 Baths', '1 Parking']"
4394,"[-37.7430039, 145.008542]",250.0,11/326 Plenty Road Preston VIC 3072,"['1 Bed', '1 Bath', '1 Parking']"
4395,"[-37.7512194, 145.0169363]",550.0,1/7 Tiernan Street Preston VIC 3072,"['2 Beds', '2 Baths', '1 Parking']"
4396,"[-37.7326216, 145.003678]",380.0,2/9 Cambrian Avenue Preston VIC 3072,"['2 Beds', '1 Bath', '1 Parking']"
4397,"[-37.7352913, 144.9902065]",750.0,437 Gilbert Road Preston VIC 3072,"['3 Beds', '1 Bath', '1 Parking']"
4398,"[-37.7424904, 145.0198637]",660.0,1/107 Gower Street Preston VIC 3072,"['3 Beds', '2 Baths', '2 Parking']"
4399,"[-37.7378149, 145.0170654]",570.0,15 Sylvester Grove Preston VIC 3072,"['3 Beds', '1 Bath', '1 Parking']"
4400,"[-37.7394057, 145.0200359]",650.0,1-2/102 Murray Road Preston VIC 3072,"['4 Beds', '2 Baths', '2 Parking']"
4401,"[-37.7499819, 144.9848272]",700.0,19 The Mews Preston VIC 3072,"['3 Beds', '2 Baths', '1 Parking']"
4402,"[-37.7415405, 145.0058947]",220.0,26/9 Cooma Street Preston VIC 3072,"['0 Beds', '1 Bath']"
4403,"[-37.741287, 144.993605]",290.0,4./66 Bruce Street Preston VIC 3072,"['1 Bed', '1 Bath', '1 Parking']"
4404,"[-37.7331075, 145.0313141]",500.0,83A Tyler Street Preston VIC 3072,"['3 Beds', '1 Bath', '2 Parking']"
4405,"[-37.7412269, 145.0035182]",400.0,54/93-103 High Street Preston VIC 3072,"['2 Beds', '1 Bath', '1 Parking']"
4406,"[-37.7518294, 145.0012676]",420.0,301/9 High Street Preston VIC 3072,"['2 Beds', '2 Baths', '1 Parking']"
4407,"[-37.7476273, 145.0026192]",450.0,21/122 High Street Preston VIC 3072,"['2 Beds', '2 Baths', '1 Parking']"
4408,"[-37.740664, 144.989459]",600.0,4/295 Gilbert Road Preston VIC 3072,"['3 Beds', '3 Baths', '1 Parking']"
4409,"[-37.7395241, 145.0237466]",415.0,118 Albert Street Preston VIC 3072,"['2 Beds', '1 Bath', '2 Parking']"
4410,"[-37.7408647, 145.0055719]",320.0,6/247 Gower Street Preston VIC 3072,"['1 Bed', '1 Bath', '1 Parking']"
4411,"[-37.7330775, 145.0144412]",580.0,636 Plenty Road Preston VIC 3072,"['3 Beds', '1 Bath', '1 Parking']"
4412,"[-37.7432756, 144.9818579]",450.0,19/777 Bell Street Preston VIC 3072,"['2 Beds', '1 Bath', '2 Parking']"
4413,"[-37.7432756, 144.9818579]",350.0,17/777 Bell Street Preston VIC 3072,"['1 Bed', '1 Bath', '1 Parking']"
4414,"[-37.7432756, 144.9818579]",350.0,4/777 Bell Street Preston VIC 3072,"['1 Bed', '1 Bath', '1 Parking']"
4415,"[-37.7432756, 144.9818579]",420.0,22/777 Bell Street Preston VIC 3072,"['2 Beds', '1 Bath', '2 Parking']"
4416,"[-37.7432756, 144.9818579]",450.0,36/777 Bell Street Preston VIC 3072,"['2 Beds', '2 Baths', '2 Parking']"
4417,"[-37.7362664, 145.0146972]",540.0,10A Margaret Grove Preston VIC 3072,"['3 Beds', '1 Bath', '1 Parking']"
4418,"[-37.7503596, 145.0034276]",440.0,8 Milton Crescent Preston VIC 3072,"['2 Beds', '1 Bath', '1 Parking']"
4419,"[-37.7357989, 145.0233079]",495.0,105a Wood Street Preston VIC 3072,"['2 Beds', '1 Bath', '1 Parking']"
4420,"[-37.7357989, 145.0233079]",495.0,105a Wood Street Preston VIC 3072,"['2 Beds', '1 Bath', '1 Parking']"
4421,"[-37.7371122, 144.9867601]",470.0,1/38 Grandview Road Preston VIC 3072,"['3 Beds', '1 Bath', '3 Parking']"
4422,"[-37.7496413, 145.0004713]",400.0,207/7 Warrs Avenue Preston VIC 3072,"['2 Beds', '1 Bath', '1 Parking']"
4423,"[-37.7333024, 144.9888615]",450.0,2/16 Benambra Street Preston VIC 3072,"['3 Beds', '1 Bath', '1 Parking']"
4424,"[-37.7313646, 144.9946862]",460.0,3/12-14 Bartlett Street Preston VIC 3072,"['3 Beds', '1 Bath', '1 Parking']"
4425,"[-37.7357702, 145.0127861]",240.0,10/499 Plenty Road Preston VIC 3072,"['1 Bed', '1 Bath']"
4426,"[-37.7307464, 144.9886572]",600.0,1/19 Symons Street Preston VIC 3072,"['3 Beds', '2 Baths', '2 Parking']"
4427,"[-37.7407339, 145.0093383]",450.0,2/226 Gower Street Preston VIC 3072,"['2 Beds', '2 Baths', '1 Parking']"
4428,"[-37.7432521, 145.0180125]",380.0,17 Emerald Street Preston VIC 3072,"['2 Beds', '1 Bath', '2 Parking']"
4429,"[-37.7468405, 145.0028486]",485.0,402/33 Seymour Street Preston VIC 3072,"['2 Beds', '2 Baths', '1 Parking']"
4430,"[-37.751374, 145.011718]",340.0,3/22 Newcastle Street Preston VIC 3072,"['2 Beds', '1 Bath']"
4431,"[-37.7467849, 145.009941]",390.0,104/5 Harold Street Preston VIC 3072,"['2 Beds', '1 Bath', '1 Parking']"
4432,"[-37.7419204, 145.0196915]",300.0,3/118 Gower Street Preston VIC 3072,"['1 Bed', '1 Bath', '1 Parking']"
4434,"[-37.7327941, 144.9978243]",630.0,24 May Street Preston VIC 3072,"['3 Beds', '1 Bath', '2 Parking']"
4435,"[-37.7348736, 145.0200359]",650.0,152 Wood Street Preston VIC 3072,"['4 Beds', '1 Bath', '1 Parking']"
4436,"[-37.7348736, 145.0200359]",650.0,152 Wood Street Preston VIC 3072,"['4 Beds', '1 Bath', '1 Parking']"
4437,"[-37.751359, 145.01161]",410.0,2/22 Newcastle Street Preston VIC 3072,"['2 Beds', '1 Bath', '1 Parking']"
4438,"[-37.7406945, 145.0045803]",300.0,4/259 Gower Street Preston VIC 3072,"['1 Bed', '1 Bath', '1 Parking']"
4439,"[-37.74342499999999, 144.996128]",450.0,1/20 Leicester Street Preston VIC 3072,"['2 Beds', '2 Baths', '1 Parking']"
4440,"[-37.7486971, 145.0056902]",440.0,15 Flett Street Preston VIC 3072,"['2 Beds', '1 Bath']"
4441,"[-37.7486971, 145.0056902]",440.0,15 Flett Street Preston VIC 3072,"['2 Beds', '1 Bath']"
4442,"[-37.75152509999999, 145.0184861]",380.0,6 Austin Street Preston VIC 3072,"['3 Beds', '1 Bath', '2 Parking']"
4443,"[-37.7317186, 144.9927717]",330.0,12/4-6 Sheffield Street Preston VIC 3072,"['1 Bed', '1 Bath', '1 Parking']"
4444,"[-37.7363008, 144.9945318]",300.0,3/51 Asling Street Preston VIC 3072,"['1 Bed', '1 Bath', '1 Parking']"
4445,"[-37.7413889, 144.9935895]",330.0,2/66 Bruce Street Preston VIC 3072,"['1 Bed', '1 Bath', '1 Parking']"
4446,"[-37.7355903, 145.0140267]",410.0,1/35 Kitchener Grove Preston VIC 3072,"['2 Beds', '1 Bath', '1 Parking']"
4447,"[-37.7355903, 145.0140267]",410.0,1/35 Kitchener Grove Preston VIC 3072,"['2 Beds', '1 Bath', '1 Parking']"
4448,"[-37.7359693, 144.986689]",470.0,624 Murray Road Preston VIC 3072,"['3 Beds', '1 Bath', '2 Parking']"
4449,"[-37.7359693, 144.986689]",470.0,624 Murray Road Preston VIC 3072,"['3 Beds', '1 Bath', '2 Parking']"
4450,"[-37.7415471, 144.9899053]",325.0,12/133 Bruce St Preston VIC 3072,"['2 Beds', '1 Bath', '1 Parking']"
4451,"[-37.7347908, 144.9936904]",480.0,58 Cooper Street Preston VIC 3072,"['3 Beds', '1 Bath', '1 Parking']"
4452,"[-37.7520813, 145.0014176]",460.0,606/1 High Street Preston VIC 3072,"['2 Beds', '1 Bath', '1 Parking']"
4453,"[-37.744194, 144.9995459]",435.0,4/4 Arthur Street Preston VIC 3072,"['2 Beds', '1 Bath', '1 Parking']"
4454,"[-37.7414635, 144.985578]",410.0,2/21 Tasman Street Preston VIC 3072,"['2 Beds', '1 Bath', '1 Parking']"
4455,"[-37.7493561, 145.0038999]",660.0,3/108 Plenty Road Preston VIC 3072,"['3 Beds', '2 Baths', '2 Parking']"
4456,"[-37.7493561, 145.0038999]",660.0,3/108 Plenty Road Preston VIC 3072,"['3 Beds', '2 Baths', '2 Parking']"
4457,"[-37.7522261, 145.019261]",620.0,6 Alfred Street Preston VIC 3072,"['3 Beds', '1 Bath', '4 Parking']"
4458,"[-37.7330541, 145.0373292]",490.0,14 Davis Street Preston VIC 3072,"['3 Beds', '2 Baths', '2 Parking']"
4459,"[-37.7498259, 145.0022646]",410.0,405/50-56 High Street Preston VIC 3072,"['2 Beds', '1 Bath', '1 Parking']"
4460,"[-37.7371822, 144.9989649]",420.0,221/388 Murray Road Preston VIC 3072,"['2 Beds', '2 Baths', '1 Parking']"
4461,"[-37.7503426, 145.016721]",480.0,128A Raglan Street Preston VIC 3072,"['2 Beds', '1 Bath', '1 Parking']"
4462,"[-37.7394098, 145.023787]",420.0,120 Albert Street Preston VIC 3072,"['3 Beds', '1 Bath', '2 Parking']"
4463,"[-37.7379798, 144.9975445]",860.0,7 Eastwood Avenue Preston VIC 3072,"['5 Beds', '2 Baths', '2 Parking']"
4464,"[-37.7467849, 145.009941]",400.0,4/5 Harold Street Preston VIC 3072,"['2 Beds', '1 Bath', '1 Parking']"
4465,"[-37.735107, 145.02802]",330.0,6/3 Mclennan Place Preston VIC 3072,"['2 Beds', '1 Bath', '1 Parking']"
4466,"[-37.7381836, 145.0214997]",460.0,24 Lyonsville Avenue Preston VIC 3072,"['3 Beds', '1 Bath', '2 Parking']"
4467,"[-37.738492, 145.0115122]",450.0,B206/425 Plenty Road Preston VIC 3072,"['2 Beds', '2 Baths', '1 Parking']"
4468,"[-37.7440193, 144.9853436]",790.0,24 Stafford Street Preston VIC 3072,"['4 Beds', '2 Baths', '2 Parking']"
4469,"[-37.7371822, 144.9989649]",370.0,126/388 Murray Road Preston VIC 3072,"['2 Beds', '1 Bath', '1 Parking']"
4470,"[-37.7356088, 145.0182741]",665.0,16 Brown Street Preston VIC 3072,"['3 Beds', '2 Baths', '2 Parking']"
4471,"[-37.7356088, 145.0182741]",665.0,20 Brown Street Preston VIC 3072,"['3 Beds', '2 Baths', '2 Parking']"
4472,"[-37.7356088, 145.0182741]",640.0,18 Brown Street Preston VIC 3072,"['2 Beds', '1 Bath', '2 Parking']"
4473,"[-37.7446427, 145.0008156]",390.0,402/356 Bell Street Preston VIC 3072,"['2 Beds', '1 Bath', '1 Parking']"
4474,"[-37.7384649, 144.9868498]",650.0,136 Cramer Street Preston VIC 3072,"['3 Beds', '1 Bath', '1 Parking']"
4475,"[-37.7504531, 144.9927887]",650.0,14 Gillingham Street Preston West VIC 3072,"['3 Beds', '1 Bath', '1 Parking']"
4476,"[-37.7354226, 145.0130055]",420.0,1/505 Plenty Road Preston VIC 3072,"['2 Beds', '1 Bath', '1 Parking']"
4477,"[-37.7408544, 144.9992877]",470.0,98 St Georges Road Preston VIC 3072,"['2 Beds', '1 Bath', '1 Parking']"
4478,"[-37.740664, 144.989459]",600.0,2/295 Gilbert Road Preston VIC 3072,"['3 Beds', '3 Baths', '1 Parking']"
4479,"[-37.7356847, 145.031624]",400.0,4/1-5 Holly Street Preston VIC 3072,"['2 Beds', '1 Bath', '1 Parking']"
4480,"[-37.7356847, 145.031624]",400.0,4/1-5 Holly Street Preston VIC 3072,"['2 Beds', '1 Bath', '1 Parking']"
4481,"[-37.7304839, 144.998556]",295.0,4/14A Myrtle Grove Preston VIC 3072,"['1 Bed', '1 Bath', '1 Parking']"
4482,"[-37.730555, 144.999358]",395.0,3/55 Regent Street Preston VIC 3072,"['2 Beds', '1 Bath', '1 Parking']"
4483,"[-37.741352, 145.006066]",260.0,27/11 Cooma Street Preston VIC 3072,"['1 Bed', '1 Bath']"
4484,"[-37.746352, 145.002822]",450.0,307/154 High Street Preston VIC 3072,"['2 Beds', '2 Baths', '1 Parking']"
4485,"[-37.7476273, 145.0026192]",460.0,25/122 High Street Preston VIC 3072,"['2 Beds', '2 Baths', '1 Parking']"
4486,"[-37.7520813, 145.0014176]",420.0,301/1 High Street Preston VIC 3072,"['2 Beds', '1 Bath', '1 Parking']"
4487,"[-37.7441317, 144.9999548]",360.0,12/2 Arthur Street Preston VIC 3072,"['1 Bed', '1 Bath', '1 Parking']"
4488,"[-37.7327927, 145.0058164]",480.0,8/1 Lunette Avenue Preston VIC 3072,"['2 Beds', '1 Bath', '1 Parking']"
4489,"[-37.7422143, 145.0179695]",460.0,125 Gower Street Preston VIC 3072,"['3 Beds', '1 Bath', '2 Parking']"
4490,"[-37.7422143, 145.0179695]",460.0,125 Gower Street Preston VIC 3072,"['3 Beds', '1 Bath', '2 Parking']"
4491,"[-37.7299556, 145.0013106]",440.0,1A Clarence Street Preston VIC 3072,"['2 Beds', '1 Bath', '1 Parking']"
4492,"[-37.7383796, 145.0057871]",560.0,227 Murray Road Preston VIC 3072,"['3 Beds', '2 Baths', '3 Parking']"
4493,"[-37.747845, 145.0025844]",350.0,1/114 High Street Preston VIC 3072,"['2 Beds', '1 Bath', '1 Parking']"
4494,"[-37.736719, 145.0242981]",390.0,148 Albert Street Preston VIC 3072,"['3 Beds', '1 Bath', '2 Parking']"
4495,"[-37.7334271, 145.0334691]",450.0,59 Tyler Street Preston VIC 3072,"['3 Beds', '1 Bath', '2 Parking']"
4496,"[-37.7309935, 145.0013537]",700.0,6 Parker Street Preston VIC 3072,"['3 Beds', '1 Bath', '1 Parking']"
4497,"[-37.7365274, 145.0258911]",460.0,41 Beatrice Street Preston VIC 3072,"['3 Beds', '1 Bath', '2 Parking']"
4498,"[-37.7388139, 145.0196915]",500.0,5 Gordon Grove Preston VIC 3072,"['3 Beds', '1 Bath', '1 Parking']"
4499,"[-37.7388139, 145.0196915]",500.0,5 Gordon Grove Preston VIC 3072,"['3 Beds', '1 Bath', '1 Parking']"
4500,"[-37.7315407, 144.9924014]",460.0,5 Sheffield Street Preston VIC 3072,"['2 Beds', '1 Bath', '1 Parking']"
4501,"[-37.7315251, 144.9938647]",460.0,3/9 Bartlett Street Preston VIC 3072,"['2 Beds', '1 Bath', '1 Parking']"
4502,"[-37.7361247, 145.0188735]",500.0,5 Brown Street Preston VIC 3072,"['3 Beds', '1 Bath', '1 Parking']"
4503,"[-37.7361247, 145.0188735]",500.0,5 Brown Street Preston VIC 3072,"['3 Beds', '1 Bath', '1 Parking']"
4504,"[-37.74117500000001, 145.007315]",310.0,4/229 Gower Street Preston VIC 3072,"['1 Bed', '1 Bath', '1 Parking']"
4505,"[-37.7438824, 145.0159892]",430.0,33 Ruby Street Preston VIC 3072,"['3 Beds', '1 Bath']"
4506,"[-37.735107, 145.02802]",320.0,1/3 McLennan Place Preston VIC 3072,"['2 Beds', '1 Bath', '1 Parking']"
4507,"[-37.7311856, 144.9999051]",510.0,5/73 Spring Street Preston VIC 3072,"['3 Beds', '1 Bath', '1 Parking']"
4508,"[-37.74862299999999, 145.030041]",550.0,"Lvl 2, U 1/306 Bell Street Preston VIC 3072","['3 Beds', '2 Baths', '1 Parking']"
4509,"[-37.7453838, 145.0070999]",450.0,"Lvl 2, U 3/306 Bell Street Preston VIC 3072","['2 Beds', '1 Bath', '1 Parking']"
4510,"[-37.741839, 145.004226]",360.0,1/14 Dalgety Street Preston VIC 3072,"['1 Bed', '1 Bath', '1 Parking']"
4511,"[-37.7417775, 145.0021801]",350.0,15/44 Mary Street Preston VIC 3072,"['1 Bed', '1 Bath', '1 Parking']"
4512,"[-37.728229, 144.985401]",550.0,1/15 Furzer Street Preston VIC 3072,"['3 Beds', '1 Bath', '2 Parking']"
4513,"[-37.7395857, 145.0109276]",165.0,711 Plenty Road Preston VIC 3072,"['1 Bed', '1 Bath']"
4514,"[-37.7416319, 145.0057871]",320.0,1/7 Cooma Street Preston VIC 3072,"['2 Beds', '1 Bath', '1 Parking']"
4515,"[-37.742066, 145.0203373]",550.0,112B Gower Street Preston VIC 3072,"['3 Beds', '1 Bath', '2 Parking']"
4516,"[-37.73146089999999, 144.9914115]",440.0,1/496 Gilbert Road Preston VIC 3072,"['2 Beds', '1 Bath', '1 Parking']"
4517,"[-37.742642, 145.008286]",430.0,9/293-297 Plenty Road Preston VIC 3072,"['2 Beds', '2 Baths', '1 Parking']"
4518,"[-37.73096839999999, 144.9956723]",650.0,20 Clara Street Preston VIC 3072,"['3 Beds', '1 Bath', '2 Parking']"
4519,"[-37.7454733, 144.9993834]",525.0,1/5 Blanch Street Preston VIC 3072,"['2 Beds', '2 Baths']"
4520,"[-37.7417124, 145.0031924]",430.0,15/345 High Street Preston VIC 3072,"['2 Beds', '1 Bath']"
4521,"[-37.74617910000001, 145.003678]",337.5,23 Garnet Street Preston VIC 3072,"['4 Beds', '2 Baths', '1 Parking']"
4522,"[-37.7469321, 145.0032045]",470.0,25 Seymour Street Preston VIC 3072,"['2 Beds', '1 Bath', '2 Parking']"
4523,"[-37.7442692, 144.9959997]",410.0,12/446 BELL Street Preston VIC 3072,"['2 Beds', '2 Baths', '1 Parking']"
4524,"[-37.7354856, 145.0295078]",430.0,2/29 Holly Street Preston VIC 3072,"['2 Beds', '2 Baths', '1 Parking']"
4526,"[-37.742559, 144.9943785]",600.0,18 Jessie Street Preston VIC 3072,"['4 Beds', '2 Baths', '1 Parking']"
4527,"[-37.735036, 145.013622]",520.0,580 plenty road Preston VIC 3072,"['3 Beds', '1 Bath', '3 Parking']"
