,School_Name,Address_Line_1,Address_Town,Address_Postcode,LGA_ID,LGA_Name,X,Y
545,Langwarrin Primary School,90 Warrandyte Road,Langwarrin,3910,217,Frankston (C),145.189852,-38.160389
546,Cockatoo Primary School,19-33 Belgrave-Gembrook Road,Cockatoo,3781,145,Cardinia (S),145.496384,-37.939374
547,Tyabb Railway Station Primary School,88 The Crescent,Tyabb,3913,534,Mornington Peninsula (S),145.192501,-38.261946
548,Belgrave South Primary School,175 Colby Drive,Belgrave South,3160,745,Yarra Ranges (S),145.3579203,-37.93119813
549,Yarra Me School,Highview Road,Preston,3072,189,Darebin (C),145.0181746,-37.73790557
550,Sydenham - Hillside Primary School,39-49 Community Hub,Sydenham,3037,118,Brimbank (C),144.762327,-37.702046
551,Canterbury Primary School,Molesworth Street,Canterbury,3126,111,Boroondara (C),145.083144,-37.830963
552,The Lake Primary School,225 Seventeenth Street,Cabarita,3505,478,Mildura (RC),142.093145,-34.205917
553,Grey Street Primary School (Traralgon),30 - 44 Grey Street,Traralgon,3844,381,Latrobe (C),146.537121,-38.193048
554,Brunswick North Primary School,Pearson Street,Brunswick West,3055,525,Moreland (C),144.95043,-37.759837
555,Fawkner Primary School,Lorne Street,Fawkner,3060,525,Moreland (C),144.974756,-37.715235
556,Alphington Primary School,Yarralea Street,Alphington,3078,735,Yarra (C),145.032006,-37.783523
557,The Austin School,145 Studley Road,Heidelberg,3084,66,Banyule (C),145.058287,-37.755435
558,Bona Vista Primary School,520 Bona Vista Road,Bona Vista,3820,83,Baw Baw (S),145.95991,-38.210521
559,Banyan Fields Primary School,90 Cadles Road,Carrum Downs,3201,217,Frankston (C),145.187909,-38.094598
560,Norris Bank Primary School,146 Settlement Road,Bundoora,3083,707,Whittlesea (C),145.0426341,-37.6945118
561,Macclesfield Primary School,405 Macclesfield Road,Macclesfield,3782,745,Yarra Ranges (S),145.4753695,-37.88979216
562,Black Rock Primary School,71 Arkaringa Crescent,Black Rock,3193,91,Bayside (C),145.021651,-37.969869
563,Mount Evelyn Primary School,33 Monbulk Road,Mount Evelyn,3796,745,Yarra Ranges (S),145.3888224,-37.79092979
564,Kilsyth Primary School,Durham Road,Kilsyth,3137,745,Yarra Ranges (S),145.3149427,-37.80210649
565,Wonthaggi Primary School,18 Billson Street,Wonthaggi,3995,74,Bass Coast (S),145.588636,-38.607947
566,Spotswood Primary School,Melbourne Road,Spotswood,3015,311,Hobsons Bay (C),144.881736,-37.830451
567,Clyde Primary School,13 Oroya Grove,Clyde,3978,161,Casey (C),145.326386,-38.132323
568,Noble Park Primary School,65 Buckley Street,Noble Park,3174,267,Greater Dandenong (C),145.173906,-37.970627
569,Deepdene Primary School,958a Burke Road,Deepdene,3103,111,Boroondara (C),145.061355,-37.808366
570,Clifton Creek Primary School,1020 Deptford Road,Clifton Creek,3875,211,East Gippsland (S),147.659395,-37.70208
571,Kennington Primary School,60 Crook Street,Kennington,3550,262,Greater Bendigo (C),144.307498,-36.768805
572,Cardinia Primary School,2405 Ballarto Road,Cardinia,3978,145,Cardinia (S),145.423332,-38.145785
573,Grahamvale Primary School,85 Grahamvale Road,Grahamvale,3631,283,Greater Shepparton (C),145.430716,-36.357202
574,Irymple South Primary School,3208 Fifteenth Street,Irymple,3498,478,Mildura (RC),142.190619,-34.252489
575,Glen Huntly Primary School,Grange Road,Glen Huntly,3163,231,Glen Eira (C),145.0462294,-37.89377084
576,Nanneella Estate Primary School,159 Bennett Road,Nanneella,3561,137,Campaspe (S),144.778037,-36.312971
577,Wantirna Primary School,120 Mountain Highway,Wantirna,3152,367,Knox (C),145.216509,-37.856256
578,Wonthaggi North Primary School,Cnr White & Wentworth Road,Wonthaggi,3995,74,Bass Coast (S),145.600234,-38.59882
579,Melton South Primary School,38 - 46 Exford Road,Melton South,3338,465,Melton (C),144.574264,-37.70872
580,Chelsea Primary School,34-44 Argyle Ave,Chelsea,3196,343,Kingston (C),145.12231,-38.054889
581,Hampton Primary School,528 Hampton Street,Hampton,3188,91,Bayside (C),145.003476,-37.93339
582,Victorian College For The Deaf,597 St Kilda Road,Melbourne,3004,460,Melbourne (C),144.982306,-37.849774
583,Balliang East Primary School,4 School Road,Balliang East,3340,515,Moorabool (S),144.4153538,-37.79497592
584,Edithvale Primary School,42-54 Edithvale Road,Edithvale,3196,343,Kingston (C),145.11297,-38.037494
585,Orrvale Primary School,300 Channel Road,Orrvale,3631,283,Greater Shepparton (C),145.440539,-36.410409
586,Penders Grove Primary School,370 Victoria Road,Thornbury,3071,189,Darebin (C),145.01427,-37.754517
587,Underbool Primary School,67 Cotter Street,Underbool,3509,478,Mildura (RC),141.814054,-35.170573
588,Caulfield Junior College,186 Balaclava Road,Caulfield North,3161,231,Glen Eira (C),145.021561,-37.87211
589,Seaford Primary School,Mcrae Street,Seaford,3198,217,Frankston (C),145.130496,-38.104436
590,Wattle Park Primary School,225 Warrigal Road,Burwood,3125,698,Whitehorse (C),145.09737,-37.842635
591,Murrabit Group School,61 Browning Avenue,Murrabit,3579,225,Gannawarra (S),143.950749,-35.528838
592,Preston West Primary School,383 Murray Road,Preston,3072,189,Darebin (C),144.99553,-37.737366
593,Thornbury Primary School,16-22 Hutton Street,Thornbury,3071,189,Darebin (C),144.996748,-37.755425
594,Footscray West Primary School,Argyle Street,West Footscray,3012,433,Maribyrnong (C),144.875267,-37.794867
595,Wandin North Primary School,220 Warburton Highway,Wandin North,3139,745,Yarra Ranges (S),145.409713,-37.769783
596,Gardenvale Primary School,66 Landcox Street,Brighton East,3187,91,Bayside (C),145.015034,-37.904679
597,Beaumaris Primary School,79-99 Dalgetty Road,Beaumaris,3193,91,Bayside (C),145.037586,-37.985272
598,Currawa Primary School,2 Ridge Road,Dookie Campus,3647,283,Greater Shepparton (C),145.7037867,-36.38474876
599,Cann River P-12 College,20-24 Tamboon Road,Cann River,3890,211,East Gippsland (S),149.153022,-37.5697
600,Altona Primary School,109 Blyth Street,Altona,3018,311,Hobsons Bay (C),144.822742,-37.867708
601,Devon Meadows Primary School,50 Worthing Road,Devon Meadows,3977,161,Casey (C),145.301384,-38.162026
602,Upper Ferntree Gully Primary School,Talaskia Road,Upper Ferntree Gully,3156,367,Knox (C),145.314325,-37.895604
603,Eildon Primary School,45 High Street,Eildon,3713,562,Murrindindi (S),145.906761,-37.233967
604,Bittern Primary School,Portsmouth Road,Bittern,3918,534,Mornington Peninsula (S),145.171678,-38.339857
605,Colbinabbin Primary School,56 Mitchell Street,Colbinabbin,3559,137,Campaspe (S),144.801658,-36.589881
606,Stanhope Primary School,48 Midland Highway,Stanhope,3623,137,Campaspe (S),144.988016,-36.448102
607,Hurstbridge Primary School,961-989 Heidelberg-Kinglake Rd,Hurstbridge,3099,571,Nillumbik (S),145.19812,-37.635897
608,Coburg West Primary School,185-187 Reynard Street,Coburg,3058,525,Moreland (C),144.947624,-37.74715
609,Elwood Primary School,Scott Street,Elwood,3184,590,Port Phillip (C),144.988364,-37.881505
610,Mont Albert Primary School,Barloa Road,Mont Albert,3127,698,Whitehorse (C),145.102727,-37.813079
611,Dhurringile Primary School,605 Langham Road,Dhurringile,3610,283,Greater Shepparton (C),145.239786,-36.543203
612,Strathewen Primary School,5 School Ridge Road,Strathewen,3099,571,Nillumbik (S),145.270094,-37.547579
613,Don Valley Primary School,Old Dalry Road,Don Valley,3139,745,Yarra Ranges (S),145.5874128,-37.76019989
614,Reservoir Primary School,Duffy Street,Reservoir,3073,189,Darebin (C),145.00677,-37.71142
615,Yallourn North Primary School,2A Reserve Street,Yallourn North,3825,381,Latrobe (C),146.362224,-38.163208
616,Toorloo Arm Primary School,315 Lake Tyers Beach Road,Lake Tyers Beach,3909,211,East Gippsland (S),148.05097,-37.852539
617,Girgarre Primary School,528 Winter Road,Girgarre,3624,137,Campaspe (S),144.973758,-36.398106
618,Yaapeet Primary School,4 Woods Street,Yaapeet,3424,763,Yarriambiack (S),142.057154,-35.768504
619,Gladysdale Primary School,550 Little Yarra Road,Gladysdale,3797,745,Yarra Ranges (S),145.6509863,-37.82025309
620,Mildura West Primary School,219-227  Ninth Street,Mildura,3500,478,Mildura (RC),142.152392,-34.179726
621,Moonee Ponds Primary School,87 Wilson Street,Moonee Ponds,3039,506,Moonee Valley (C),144.932986,-37.763341
622,Kingsville Primary School,58 Bishop Street,Yarraville,3013,433,Maribyrnong (C),144.874657,-37.812595
623,Kallista Primary School,72 Monbulk Road,Kallista,3791,745,Yarra Ranges (S),145.370004,-37.885086
624,Essendon North Primary School,112 Keilor Road,Essendon North,3041,506,Moonee Valley (C),144.903193,-37.741516
625,Ascot Vale West Primary School,Langs Rd,Ascot Vale,3032,506,Moonee Valley (C),144.911125,-37.78068
626,Hartwell Primary School,Milverton St,Camberwell,3124,111,Boroondara (C),145.084466,-37.848051
627,Red Cliffs Primary School,Murray Avenue,Red Cliffs,3496,478,Mildura (RC),142.185312,-34.311566
628,Wattle Glen Primary School,16-24 Reynolds Road,Wattle Glen,3096,571,Nillumbik (S),145.182037,-37.66884
629,Hampton Park Primary School,32 Somerville Road,Hampton Park,3976,161,Casey (C),145.252893,-38.030413
630,Colac West Primary School,12 Ligar Street,Colac,3250,175,Colac-Otway (S),143.579749,-38.336417
631,Ripponlea Primary School,25 Carrington Grove,St Kilda East,3183,231,Glen Eira (C),145.005054,-37.874608
632,Noojee Primary School,65 School Road,Noojee,3833,83,Baw Baw (S),146.007862,-37.895136
633,Montmorency Primary School,60a Rattray Road,Montmorency,3094,66,Banyule (C),145.121599,-37.717652
634,Moriac Primary School,785 Hendy Main Road,Moriac,3240,649,Surf Coast (S),144.175572,-38.24138556
635,Ringwood North Primary School,172 Oban Road,Ringwood North,3134,441,Maroondah (C),145.230739,-37.79313
636,Red Cliffs East Primary School,Block 67a Nerrum Avenue,Red Cliffs,3496,478,Mildura (RC),142.214274,-34.305108
637,Lloyd Street Primary School,Lloyd Street,Malvern East,3145,635,Stonnington (C),145.056108,-37.872416
638,Bayswater North Primary School,Stuart Street,Bayswater North,3153,441,Maroondah (C),145.295621,-37.8288
639,Westbreen Primary School,2-10 Pascoe Street,Pascoe Vale,3044,525,Moreland (C),144.935476,-37.716291
640,Point Cook Prep - Year 9 College,18 - 50 Ponsford Drive,Point Cook,3030,726,Wyndham (C),144.7244931,-37.89380261
641,Footscray North Primary School,14 Rosamond Road,Footscray,3011,433,Maribyrnong (C),144.883372,-37.787746
642,Airly Primary School,226 Airly Estate Road,Airly,3851,681,Wellington (S),147.113897,-38.025712
643,Camberwell South Primary School,Peate Avenue,Glen Iris,3146,111,Boroondara (C),145.062612,-37.847905
644,Parkdale Primary School,305-311 Nepean Highway,Parkdale,3195,343,Kingston (C),145.083098,-37.992792
645,Hughesdale Primary School,Brine Street,Hughesdale,3166,497,Monash (C),145.077639,-37.905839
646,Westgarth Primary School,45 Brooke St & 311 Clarke St,Northcote,3070,189,Darebin (C),145.005561,-37.776471
647,Auburn South Primary School,419 Tooronga Road,Hawthorn East,3123,111,Boroondara (C),145.045894,-37.839263
648,Aspendale Primary School,23 Laura Street,Aspendale,3195,343,Kingston (C),145.099756,-38.020273
649,Eltham North Primary School,35-47 Wattletree Road,Eltham North,3095,571,Nillumbik (S),145.1508655,-37.70011091
650,Merrivale Primary School,158 Merrivale Drive,Warrnambool,3280,673,Warrnambool (C),142.456146,-38.378018
651,Dandenong West Primary School,32 Birdwood Avenue,Dandenong,3175,267,Greater Dandenong (C),145.200416,-37.980741
652,Yarra Road Primary School,222 - 228 Yarra Road,Croydon,3136,441,Maroondah (C),145.272227,-37.766401
653,Aberfeldie Primary School,1 Doone Street,Essendon,3040,506,Moonee Valley (C),144.894774,-37.756488
654,Manifold Heights Primary School,20-24 Strachan Avenue,Manifold Heights,3218,275,Greater Geelong (C),144.332922,-38.135971
655,Nungurner Primary School,455 Nungurner Road,Nungurner,3909,211,East Gippsland (S),147.888387,-37.865917
656,Dingley Primary School,111-115 Centre Dandenong Road,Dingley Village,3172,343,Kingston (C),145.132498,-37.982602
657,Cardross Primary School,415 Dairtnunk Avenue,Cardross,3496,478,Mildura (RC),142.145041,-34.288009
658,Albion Primary School,61-81 Adelaide Street,Albion,3020,118,Brimbank (C),144.819753,-37.778083
659,Lemnos Primary School,Lemnos Road,Lemnos,3631,283,Greater Shepparton (C),145.462459,-36.358053
660,Tarwin Lower Primary School,School Road,Tarwin Lower,3956,617,South Gippsland (S),145.86706,-38.702574
661,Nepean Special School,33 Klauer St,Seaford,3198,217,Frankston (C),145.14233,-38.119433
662,Brunswick South West Primary School,South Daly Street,Brunswick West,3055,525,Moreland (C),144.943522,-37.770575
663,Bell Primary School,78A Oakover Road,Preston,3072,189,Darebin (C),144.990613,-37.747698
664,Chatham Primary School,47A Weybridge Street,Surrey Hills,3127,111,Boroondara (C),145.091603,-37.817647
665,Caulfield South Primary School,24 Bundeera Road,Caulfield South,3162,231,Glen Eira (C),145.030799,-37.895253
666,Ashburton Primary School,Fakenham Road,Ashburton,3147,111,Boroondara (C),145.083622,-37.862199
667,Bentleigh West Primary School,23 Brewer Road,Bentleigh,3204,231,Glen Eira (C),145.026767,-37.920585
668,Seaspray Primary School,15 Prospect Road,Seaspray,3851,681,Wellington (S),147.170623,-38.356489
669,Anglesea Primary School,85 Camp Road,Anglesea,3230,649,Surf Coast (S),144.191837,-38.39678
670,Briar Hill Primary School,25 Gladstone Road,Briar Hill,3088,66,Banyule (C),145.116219,-37.708307
671,Zeerust Primary School,245 Zeerust Road,Zeerust,3634,283,Greater Shepparton (C),145.405067,-36.277196
672,McKinnon Primary School,253 Tucker Road,Ormond,3204,231,Glen Eira (C),145.052795,-37.908049
673,Clayton South Primary School,539 Clayton Road,Clayton South,3169,343,Kingston (C),145.11644,-37.940477
674,Ivanhoe East Primary School,35 Warncliffe Road,Ivanhoe East,3079,66,Banyule (C),145.059453,-37.774587
675,Cobains Primary School,3 Crofts Road,Cobains,3851,681,Wellington (S),147.132279,-38.074794
676,Mildura South Primary School,593 Deakin Avenue,Mildura South,3501,478,Mildura (RC),142.126787,-34.213477
677,Tate Street Primary School Geelong,Tate Street,Geelong East,3219,275,Greater Geelong (C),144.379195,-38.166053
678,Brunswick North West Primary School,Culloden Street,Brunswick West,3055,525,Moreland (C),144.943592,-37.756708
679,Katandra West Primary School,17-27 Bankin Street,Katandra West,3634,283,Greater Shepparton (C),145.560714,-36.225467
680,Fleetwood Primary School,97 Fleetwood Drive,Narre Warren,3805,161,Casey (C),145.318095,-38.039305
681,Sandringham East Primary School,9 Holloway Road,Sandringham,3191,91,Bayside (C),145.022221,-37.956668
682,Seaholme Primary School,Cnr Millers Rd & Civic Parade,Seaholme,3018,311,Hobsons Bay (C),144.839906,-37.864212
683,Somers Primary School,87 Camp Hill Road,Somers,3927,534,Mornington Peninsula (S),145.164606,-38.392117
684,Travancore School,50 Flemington Street,TRAVANCORE,3032,506,Moonee Valley (C),144.934867,-37.781903
685,Upwey Primary School,15 Darling Avenue,Upwey,3158,745,Yarra Ranges (S),145.3328027,-37.90286736
686,Coburg North Primary School,180 O'Hea Street,Coburg,3058,525,Moreland (C),144.951854,-37.736171
687,Rosanna Primary School,Grandview Grove,Rosanna,3084,66,Banyule (C),145.062899,-37.735395
688,Wantirna South Primary School,16 Tyner Road,Wantirna South,3152,367,Knox (C),145.237339,-37.872529
689,Strathmore Primary School,14-34 Lloyd Street,Strathmore,3041,506,Moonee Valley (C),144.917004,-37.735512
690,Balwyn North Primary School,Buchanan Avenue,Balwyn North,3104,111,Boroondara (C),145.077044,-37.796699
691,Solway Primary School,Winton Road,Ashburton,3147,111,Boroondara (C),145.07283,-37.873238
692,Wangaratta West Primary School,47-49 Phillipson Street,Wangaratta,3677,670,Wangaratta (RC),146.304421,-36.35413
693,Mount Beauty Primary School,Lakeside Avenue,Mount Beauty,3699,11,Alpine (S),147.17159,-36.739498
694,Newlands Primary School,2-26 Murphy Street,Preston,3072,189,Darebin (C),144.985377,-37.730113
695,Somers School Camp,124 Lord Somers Road,Somers,3927,534,Mornington Peninsula (S),145.145747,-38.388785
696,Newborough Primary School,24 Murray Road,Newborough,3825,381,Latrobe (C),146.292787,-38.188582
697,Traralgon (Stockdale Road) Primary School,7 Stockdale Road,Traralgon,3844,381,Latrobe (C),146.524169,-38.18998
698,Gowrie Street Primary School Shepparton,1-19 Gowrie Street,Shepparton,3630,283,Greater Shepparton (C),145.396348,-36.366802
699,Tootgarook Primary School,Carmichael Street,Tootgarook,3941,534,Mornington Peninsula (S),144.857321,-38.369477
700,Moe (South Street) Primary School,34 South Street,Moe,3825,381,Latrobe (C),146.260064,-38.183188
701,Roslyn Primary School,183 Roslyn Road,Belmont,3216,275,Greater Geelong (C),144.329816,-38.174006
702,Newport Gardens Primary School,Cnr Woods St & Maddox Rd,Newport,3015,311,Hobsons Bay (C),144.868832,-37.845209
703,St Georges Road Primary School Shepparton,120 St Georges Road,Shepparton,3630,283,Greater Shepparton (C),145.405737,-36.390092
704,Malvern Valley Primary School,Abbotsford Avenue,Malvern East,3145,635,Stonnington (C),145.08149,-37.880704
705,Newborough East Primary School,300 Old Sale Road,Newborough,3825,381,Latrobe (C),146.29376,-38.179
706,Belmore School,49 Stroud Street,Balwyn,3103,111,Boroondara (C),145.081145,-37.804284
707,Croxton Special School,159-165 Beaconsfield Parade,Northcote,3070,189,Darebin (C),144.9873978,-37.76399724
708,Herne Hill Primary School,2-24 Gwynne Street,Hamlyn Heights,3218,275,Greater Geelong (C),144.332449,-38.12936
709,Frankston East Primary School,6A Ashleigh Avenue,Frankston,3199,217,Frankston (C),145.145528,-38.14663
710,Selby Primary School,2 Morley Street,Selby,3159,745,Yarra Ranges (S),145.367517,-37.911431
711,Reservoir East Primary School,58 Boldrewood Parade,Reservoir,3073,189,Darebin (C),145.021837,-37.719975
712,Tucker Road Bentleigh Primary School,16 Tucker Rd,Bentleigh,3204,231,Glen Eira (C),145.049012,-37.932543
713,Katunga Primary School,24 CARTER STREET,Katunga,3640,490,Moira (S),145.455613,-35.998559
714,Ballarat North Primary School,513 Landsborough Street,Ballarat,3350,57,Ballarat (C),143.8628108,-37.54009926
715,Bandiana Primary School,44 Leumeah Road,Bandiana,3694,717,Wodonga (C),146.927135,-36.152965
716,Greythorn Primary School,Reading Avenue,Balwyn North,3104,111,Boroondara (C),145.095963,-37.801427
717,Warragul North Primary School,5 O'Dowds Road,Warragul,3820,83,Baw Baw (S),145.939854,-38.148107
718,Horsham West and Haven Primary School,24 Hillary Street,Horsham,3400,319,Horsham (RC),142.179993,-36.717424
719,Traralgon (Kosciuszko Street) Primary School,36 Kosciuszko Street,Traralgon,3844,381,Latrobe (C),146.515364,-38.199268
720,Traralgon (Liddiard Road) Primary School,148 Liddiard Road,Traralgon,3844,381,Latrobe (C),146.551488,-38.201551
721,Eastwood Primary School,Alexandra Road,Ringwood East,3135,441,Maroondah (C),145.252949,-37.817239
722,Pascoe Vale South Primary School,411-429 Reynard Street,Pascoe Vale South,3044,525,Moreland (C),144.935615,-37.745716
723,Lalor Primary School,26 Maxwell Street,Lalor,3075,707,Whittlesea (C),145.025391,-37.670077
724,Reservoir West Primary School,5a Carrington Road,Reservoir,3073,189,Darebin (C),144.990229,-37.722135
725,Coatesville Primary School,21 Mackie Road,Bentleigh East,3165,231,Glen Eira (C),145.073631,-37.920083
726,Old Orchard Primary School,88 Koonung Road,Blackburn North,3130,698,Whitehorse (C),145.152511,-37.807568
727,Huntingdale Primary School,Grange Street,Oakleigh South,3167,497,Monash (C),145.102359,-37.913075
728,Box Hill North Primary School,Elizabeth Street,Box Hill North,3129,698,Whitehorse (C),145.123311,-37.800792
729,Ferntree Gully North Primary School,111 Forest Road,Ferntree Gully,3156,367,Knox (C),145.299422,-37.874787
730,Ararat West Primary School,Kneebone Street,Ararat,3377,26,Ararat (RC),142.920999,-37.277361
731,Oak Park Primary School,Willett Avenue,Oak Park,3046,525,Moreland (C),144.915042,-37.715528
732,Dandenong North Primary School,117-125 Cleeland Street,Dandenong,3175,267,Greater Dandenong (C),145.214468,-37.976641
733,Bairnsdale West Primary School,Cnr Wallace & Mckean Streets,Bairnsdale,3875,211,East Gippsland (S),147.608096,-37.824541
734,Kalianna Special School,Nolan Street,Bendigo,3550,262,Greater Bendigo (C),144.278655,-36.737835
735,Harrisfield Primary School,495 Princes Hwy,Noble Park,3174,267,Greater Dandenong (C),145.179896,-37.954443
736,Pascoe Vale North Primary School,Kent Road,Pascoe Vale,3044,525,Moreland (C),144.94848,-37.721258
737,Belle Vue Primary School,20 Highview Road,Balwyn North,3104,111,Boroondara (C),145.078653,-37.782523
738,Oberon Primary School,28 Dorothy Avenue,Belmont,3216,275,Greater Geelong (C),144.34199,-38.179439
739,Moe Primary School,Cnr Elizabeth & King Streets,Moe,3825,381,Latrobe (C),146.246722,-38.189727
740,St Albans East Primary School,25 McArthur Avenue,St Albans,3021,118,Brimbank (C),144.811089,-37.742167
741,Bourchier Street Primary School Shepparton,Cnr Bourchier St & Balaclava R,Shepparton,3630,283,Greater Shepparton (C),145.412966,-36.366538
742,Swan Hill North Primary School,118 Chapman Street,Swan Hill,3585,661,Swan Hill (RC),143.546066,-35.331787
743,Sunshine Heights Primary School,1-19 Mailey Street,Sunshine,3020,118,Brimbank (C),144.818159,-37.79222
744,Sunshine North Primary School,65 - 71 Suffolk Road,Sunshine North,3020,118,Brimbank (C),144.837192,-37.77201
745,Banyule Primary School,Banyule Road,Rosanna,3084,66,Banyule (C),145.077938,-37.743611
746,Portland South Primary School,133-141 Edgar Street,Portland,3305,241,Glenelg (S),141.610615,-38.365275
747,Rosanna Golf Links Primary School,Interlaken Parade,Rosanna,3084,66,Banyule (C),145.0741188,-37.73512039
748,Cheltenham East Primary School,Silver Street,Cheltenham,3192,343,Kingston (C),145.068353,-37.965256
749,Cranbourne South Primary School,Pearcedale Road,Cranbourne South,3977,161,Casey (C),145.245062,-38.147944
750,Yarrunga Primary School,38 - 50 White Street,Wangaratta,3677,670,Wangaratta (RC),146.317178,-36.37256
751,Ballarat Specialist School,25 Gillies Street North,Lake Gardens,3355,57,Ballarat (C),143.8186955,-37.55244058
752,Preston North East Primary School,93 Tyler Street,East Preston,3072,189,Darebin (C),145.029455,-37.733052
753,Orbost North Primary School,Rupert St,Orbost,3888,211,East Gippsland (S),148.466001,-37.697788
754,Nelson Park School,Libau Avenue,Bell Park,3215,275,Greater Geelong (C),144.337703,-38.114241
755,Craigieburn Primary School,87 - 91 Grand Boulevard,Craigieburn,3064,327,Hume (C),144.933545,-37.582645
756,Warrnambool East Primary School,Ward Street,Warrnambool,3280,673,Warrnambool (C),142.499578,-38.389589
757,Colac South West Primary School,238 Wilson Street,Colac,3250,175,Colac-Otway (S),143.572026,-38.343634
758,George Street Primary School - Hamilton,32-48  George Street,Hamilton,3300,626,Southern Grampians (S),142.034401,-37.746616
759,Valkstone Primary School,44 Valkstone Street,Bentleigh East,3165,231,Glen Eira (C),145.057169,-37.914608
760,Overport Primary School,Towerhill Road,Frankston,3199,217,Frankston (C),145.126972,-38.160488
761,Wembley Primary School,32 St Leonards Ave,Yarraville,3013,433,Maribyrnong (C),144.874427,-37.821038
762,Rosamond Special School,276 Ballarat Road,Braybrook,3019,433,Maribyrnong (C),144.8554086,-37.77963666
763,Bonbeach Primary School,29-63 Breeze Street,Bonbeach,3196,343,Kingston (C),145.125645,-38.066493
764,Heatherhill Primary School,959 Heatherton Road,Springvale,3171,267,Greater Dandenong (C),145.158148,-37.962648
765,Beaumaris North Primary School,Wood Street,Beaumaris,3193,91,Bayside (C),145.036614,-37.974239
766,Hamlyn Banks Primary School,2-24 Chaucer Street,Hamlyn Heights,3215,275,Greater Geelong (C),144.3271,-38.11776
767,Yarraman Oaks Primary School,27 Liege Avenue,Noble Park,3174,267,Greater Dandenong (C),145.191525,-37.970289
768,Mount Pleasant Road Nunawading Primary School,Mt Pleasant Road,Nunawading,3131,698,Whitehorse (C),145.180091,-37.828587
769,Glenroy West Primary School,York Street,Glenroy,3046,525,Moreland (C),144.908293,-37.704957
770,Dandenong South Primary School,52 Kirkham Road,Dandenong,3175,267,Greater Dandenong (C),145.2114331,-37.99895163
771,St Albans North Primary School,65 George Street,St Albans,3021,118,Brimbank (C),144.80201,-37.731745
772,Avondale Primary School,11 Clarendon St,Avondale Heights,3034,506,Moonee Valley (C),144.861529,-37.766157
773,Beverley Hills Primary School,2 - 14 Cassowary Street,Doncaster East,3109,421,Manningham (C),145.159841,-37.796243
774,Wodonga West Primary School,Lawrence Street,Wodonga,3690,717,Wodonga (C),146.876708,-36.122414
775,Frankston Heights Primary School,10 Kalmia Street,Frankston,3199,217,Frankston (C),145.147173,-38.161808
776,Kerrimuir Primary School,178 Dorking Road,Box Hill North,3129,698,Whitehorse (C),145.135249,-37.803679
777,Heathmont East Primary School,Louis Street,Heathmont,3135,441,Maroondah (C),145.257688,-37.830346
778,Strathmore North Primary School,Mascoma Street,Strathmore,3041,506,Moonee Valley (C),144.915976,-37.724863
779,Oakleigh South Primary School,Riley Street,Oakleigh South,3167,497,Monash (C),145.0947041,-37.92220601
780,Thomastown East Primary School,82 Cedar Street,Thomastown,3074,707,Whittlesea (C),145.024899,-37.680325
781,Mount Waverley Heights Primary School,36 Solomon Street,Mount Waverley,3149,497,Monash (C),145.11184,-37.888999
782,East Bentleigh Primary School,Bignell Road,Bentleigh East,3165,231,Glen Eira (C),145.069424,-37.934506
783,Watsonia Primary School,Nell Street West,Watsonia,3087,66,Banyule (C),145.086916,-37.707027
784,Parktone Primary School,Robert Street,Parkdale,3195,343,Kingston (C),145.08824,-37.987109
785,Antonio Park Primary School,631-639 Whitehorse Road,Mitcham,3132,698,Whitehorse (C),145.206002,-37.816188
786,Kingsbury Primary School,1A Maryborough Avenue,Kingsbury,3083,189,Darebin (C),145.037204,-37.716025
787,Katandra School,2 Walsh Street,Ormond,3204,231,Glen Eira (C),145.040738,-37.902061
788,Ardeer Primary School,Suspension Street,Ardeer,3022,118,Brimbank (C),144.800494,-37.781074
789,Westall Primary School,Fairbank Road,Clayton South,3169,343,Kingston (C),145.135744,-37.942188
790,Tullamarine Primary School,Broadmeadows Road,Tullamarine,3043,327,Hume (C),144.87957,-37.702204
791,Guthridge Primary School,Dawson Street,Sale,3850,681,Wellington (S),147.083829,-38.095698
792,Park Orchards Primary School,1-3 Bowmore Avenue,Park Orchards,3114,421,Manningham (C),145.215918,-37.779519
793,Albion North Primary School,67-73 Furlong Road,Sunshine North,3020,118,Brimbank (C),144.823039,-37.762121
794,Blackburn Lake Primary School,12 - 14 Florence Street,Blackburn,3130,698,Whitehorse (C),145.166097,-37.827601
795,Laburnum Primary School,Janet Street,Blackburn,3130,698,Whitehorse (C),145.139208,-37.827098
796,Rollins Primary School,Wolseley Grove,Bell Post Hill,3215,275,Greater Geelong (C),144.326464,-38.10121
797,Heatherwood School,370-380 Springvale Road,Donvale,3111,421,Manningham (C),145.1780362,-37.80033733
798,Bellaire Primary School,59-71 Larcombe Street,Highton,3216,275,Greater Geelong (C),144.319773,-38.179586
799,Pinewood Primary School,27-35 Pinewood Drive,Mount Waverley,3149,497,Monash (C),145.142339,-37.890118
800,Broadmeadows Primary School,62-70 Blair Street,Broadmeadows,3047,327,Hume (C),144.928493,-37.680191
801,Moomba Park Primary School,111 Anderson Road,Fawkner,3060,525,Moreland (C),144.967219,-37.69576
802,Keilor Heights Primary School,Ronald Grove,Keilor East,3033,506,Moonee Valley (C),144.866495,-37.737516
803,Ainslie Parklands Primary School,24 - 36 Hinkley Ave,Croydon,3136,441,Maroondah (C),145.264244,-37.793786
804,Parkmore Primary School,38-54 Jolimont Road,Forest Hill,3131,698,Whitehorse (C),145.177183,-37.843844
