,suburb,sa2_code,unemp_rate,year
2102,research,209031214,1.5,2011
2103,yarrambat,209031213,1.7,2011
2104,plenty,209031213,1.7,2011
2105,st andrews,209031212,2.9,2011
2106,panton hill,209031212,2.9,2011
2107,yallambie,209011203,3.1,2011
2108,viewbank,209011203,3.1,2011
2109,briar hill,209011202,3.4,2011
2110,montmorency,209011202,3.4,2011
2111,eaglemont,209011201,1.1,2011
2112,ivanhoe east,209011201,1.1,2011
2113,rosanna,209011198,3.1,2011
2114,heidelberg,209011198,3.1,2011
2115,glen iris,208041194,2.9,2011
2116,malvern,208041194,2.9,2011
2117,parkdale,208031193,4.4,2011
2118,mordialloc,208031193,4.4,2011
2119,heatherton,208031191,4.3,2011
2120,moorabbin,208031191,4.3,2011
2121,aspendale,208031189,5.1,2011
2122,edithvale,208031189,5.1,2011
2123,highett,208031188,5.3,2011
2124,cheltenham,208031188,5.3,2011
2125,bonbeach,208031186,7.7,2011
2126,chelsea,208031186,7.7,2011
2127,patterson lakes,208031185,5.8,2011
2128,carrum,208031185,5.8,2011
2129,waterways,208031183,2.8,2011
2130,aspendale gardens,208031183,2.8,2011
2131,glen huntly,208021182,4.0,2011
2132,ormond,208021182,4.0,2011
2133,mckinnon,208021174,3.5,2011
2134,bentleigh,208021174,3.5,2011
2135,black rock,208011173,2.4,2011
2136,sandringham,208011173,2.4,2011
2137,highett,208011171,4.8,2011
2138,cheltenham,208011171,4.8,2011
2139,mont albert,207031167,2.9,2011
2140,surrey hills,207031167,2.9,2011
2141,canterbury,207011155,2.4,2011
2142,surrey hills,207011155,2.4,2011
2143,princes hill,206071140,4.0,2011
2144,carlton north,206071140,4.0,2011
2145,windsor,206061136,3.1,2011
2146,prahran,206061136,3.1,2011
2147,aberfeldie,206031114,2.4,2011
2148,essendon,206031114,2.4,2011
2149,fairfield,206021110,3.5,2011
2150,alphington,206021110,3.5,2011
2151,loch sport,205051100,4.7,2011
2152,longford,205051100,4.7,2011
2153,glengarry,205041098,3.2,2011
2154,yallourn north,205041098,3.2,2011
2155,newborough,205041095,8.7,2011
2156,moe,205041095,8.7,2011
2157,inverloch,205031093,4.6,2011
2158,wonthaggi,205031093,4.6,2011
2159,omeo,205021082,3.2,2011
2160,bruthen,205021082,3.2,2011
2161,indigo valley,204031070,4.9,2011
2162,chiltern,204031070,4.9,2011
2163,mount beauty,204031069,4.3,2011
2164,bright,204031069,4.3,2011
2165,broadford,204011056,4.6,2011
2166,kilmore,204011056,4.6,2011
2167,queenscliff,203031052,2.1,2011
2168,point lonsdale,203031052,2.1,2011
2169,barwon heads,203031050,2.8,2011
2170,ocean grove,203031050,2.8,2011
2171,anglesea,203031049,2.4,2011
2172,lorne,203031049,2.4,2011
2173,bell park,203021047,6.2,2011
2174,north geelong,203021047,6.2,2011
2175,moolap,203021045,7.9,2011
2176,newcomb,203021045,7.9,2011
2177,hamlyn heights,203021040,4.3,2011
2178,geelong west,203021040,4.3,2011
2179,norlane,203021038,13.7,2011
2180,corio,203021038,13.7,2011
2181,ascot,202011025,3.0,2011
2182,white hills,202011025,3.0,2011
2183,golden square,202011022,5.1,2011
2184,kangaroo flat,202011022,5.1,2011
2185,spring gully,202011021,4.1,2011
2186,flora hill,202011021,4.1,2011
2187,kennington,202011020,3.7,2011
2188,east bendigo,202011020,3.7,2011
2189,eaglehawk,202011019,7.0,2011
2190,california gully,202011019,7.0,2011
2191,clunes,201021010,6.1,2011
2192,creswick,201021010,6.1,2011
2193,miners rest,201011008,8.7,2011
2194,wendouree,201011008,8.7,2011
3512,alfredton,201011001,2.8,2012
3513,ballarat east,201011002,6.3,2012
3514,buninyong,201011005,3.2,2012
3515,delacombe,201011006,5.6,2012
3516,smythes creek,201011007,2.6,2012
3517,bacchus marsh,201021009,3.2,2012
3518,daylesford,201021011,5.3,2012
3519,gordon,201021012,3.9,2012
3520,avoca,201031013,7.3,2012
3521,beaufort,201031014,6.1,2012
3522,maryborough,201031016,10.6,2012
3523,maryborough,201031017,9.2,2012
3524,bendigo,202011018,10.3,2012
3525,maiden gully,202011023,2.4,2012
3526,strathfieldsaye,202011024,2.5,2012
3527,castlemaine,202021027,6.5,2012
3528,castlemaine,202021028,5.5,2012
3529,heathcote,202021029,9.3,2012
3530,kyneton,202021030,4.7,2012
3531,woodend,202021031,3.1,2012
3533,bannockburn,203011034,2.9,2012
3534,winchelsea,203011036,4.0,2012
3535,belmont,203021037,6.4,2012
3536,geelong,203021039,6.9,2012
3537,grovedale,203021041,4.3,2012
3538,highton,203021042,2.9,2012
3539,lara,203021043,4.1,2012
3540,leopold,203021044,3.8,2012
3541,newtown,203021046,3.8,2012
3542,clifton springs,203031048,5.2,2012
3543,portarlington,203031051,9.9,2012
3544,torquay,203031053,2.7,2012
3545,alexandra,204011054,4.1,2012
3546,euroa,204011055,5.0,2012
3547,mansfield,204011057,3.5,2012
3548,nagambie,204011058,5.1,2012
3549,seymour,204011059,11.4,2012
3551,yea,204011062,5.0,2012
3552,benalla,204021063,7.7,2012
3553,benalla,204021064,4.3,2012
3554,rutherglen,204021065,4.2,2012
3555,wangaratta,204021066,6.6,2012
3556,wangaratta,204021067,3.3,2012
3557,beechworth,204031068,3.9,2012
3558,myrtleford,204031071,4.8,2012
3559,towong,204031072,4.8,2012
3560,west wodonga,204031073,5.2,2012
3561,wodonga,204031074,7.0,2012
3562,yackandandah,204031075,2.5,2012
3563,drouin,205011076,4.1,2012
3565,trafalgar,205011078,3.3,2012
3566,warragul,205011079,3.5,2012
3567,bairnsdale,205021081,5.8,2012
3568,lakes entrance,205021084,7.2,2012
3569,orbost,205021085,6.7,2012
3570,paynesville,205021086,4.5,2012
3571,foster,205031087,3.5,2012
3572,korumburra,205031089,3.7,2012
3573,leongatha,205031090,2.8,2012
3575,churchill,205041094,5.0,2012
3576,morwell,205041096,12.6,2012
3577,traralgon,205041097,4.4,2012
3578,maffra,205051101,4.0,2012
3579,rosedale,205051102,3.7,2012
3580,sale,205051103,4.9,2012
3581,yarram,205051104,3.8,2012
3582,brunswick,206011105,6.7,2012
3583,brunswick east,206011106,5.6,2012
3584,brunswick west,206011107,6.2,2012
3585,coburg,206011108,7.7,2012
3586,pascoe vale south,206011109,4.0,2012
3587,northcote,206021111,5.0,2012
3588,thornbury,206021112,6.4,2012
3589,ascot vale,206031113,7.3,2012
3590,flemington,206031115,10.8,2012
3591,moonee ponds,206031116,3.2,2012
3592,carlton,206041117,6.9,2012
3593,docklands,206041118,1.9,2012
3594,east melbourne,206041119,1.8,2012
3595,kensington,206041121,4.6,2012
3596,melbourne,206041122,2.4,2012
3597,north melbourne,206041123,7.0,2012
3598,parkville,206041124,2.8,2012
3599,southbank,206041126,2.3,2012
3600,albert park,206051128,2.3,2012
3601,elwood,206051129,3.3,2012
3602,port melbourne,206051130,3.1,2012
3603,south melbourne,206051132,4.5,2012
3604,st kilda,206051133,4.5,2012
3605,st kilda east,206051134,4.4,2012
3606,armadale,206061135,2.6,2012
3607,toorak,206061138,1.9,2012
3608,abbotsford,206071139,5.3,2012
3609,collingwood,206071141,10.4,2012
3610,fitzroy,206071142,9.3,2012
3611,fitzroy north,206071143,5.2,2012
3612,richmond,206071144,4.7,2012
3613,ashburton,207011146,4.8,2012
3614,balwyn,207011147,3.5,2012
3615,balwyn north,207011148,3.2,2012
3616,camberwell,207011149,2.9,2012
3617,hawthorn,207011151,3.4,2012
3618,hawthorn east,207011152,2.9,2012
3619,kew,207011153,2.9,2012
3620,kew east,207011154,3.0,2012
3621,bulleen,207021156,5.0,2012
3622,doncaster,207021157,6.2,2012
3623,templestowe,207021159,3.5,2012
3624,templestowe lower,207021160,4.3,2012
3625,blackburn,207031161,4.7,2012
3626,blackburn south,207031162,5.1,2012
3627,box hill,207031163,7.0,2012
3628,box hill north,207031164,5.3,2012
3629,burwood,207031165,6.9,2012
3630,burwood east,207031166,4.5,2012
3631,beaumaris,208011168,2.3,2012
3632,brighton,208011169,3.4,2012
3633,brighton east,208011170,3.4,2012
3634,hampton,208011172,5.2,2012
3635,carnegie,208021176,4.7,2012
3636,elsternwick,208021179,5.0,2012
3637,hughesdale,208021180,5.4,2012
3638,murrumbeena,208021181,4.5,2012
3639,chelsea heights,208031187,7.9,2012
3640,mentone,208031190,6.4,2012
3641,malvern east,208041195,3.6,2012
3642,greensborough,209011197,3.5,2012
3643,heidelberg west,209011199,11.7,2012
3644,ivanhoe,209011200,2.7,2012
3645,watsonia,209011204,4.9,2012
3646,kingsbury,209021205,3.2,2012
3647,eltham,209031209,2.2,2012
3648,hurstbridge,209031210,3.3,2012
3649,kinglake,209031211,5.1,2012
3650,lalor,209041219,11.8,2012
3651,thomastown,209041223,11.8,2012
3652,wallan,209041224,5.3,2012
3653,whittlesea,209041225,3.8,2012
3654,airport west,210011226,3.3,2012
3655,keilor,210011228,2.3,2012
3656,keilor east,210011229,2.9,2012
3657,strathmore,210011231,1.6,2012
3658,gisborne,210021232,2.2,2012
3659,macedon,210021233,1.5,2012
3660,riddells creek,210021234,2.0,2012
3661,romsey,210021235,3.2,2012
3662,coburg north,210031236,4.8,2012
3663,fawkner,210031237,6.5,2012
3664,pascoe vale,210031239,3.3,2012
3665,sunbury,210041240,3.3,2012
3666,broadmeadows,210051242,19.4,2012
3667,meadow heights,210051247,15.9,2012
3668,melbourne airport,210051248,0.9,2012
3669,tullamarine,210051250,4.1,2012
3670,bayswater,211011251,5.6,2012
3671,lysterfield,211011255,2.0,2012
3672,wantirna,211011259,3.4,2012
3673,wantirna south,211011260,3.2,2012
3674,bayswater north,211031263,4.6,2012
3675,ringwood,211031266,6.5,2012
3676,ringwood east,211031267,4.9,2012
3677,ringwood north,211031268,2.0,2012
3678,forest hill,211041269,3.9,2012
3679,mitcham,211041270,3.2,2012
3680,nunawading,211041271,3.5,2012
3681,vermont,211041272,3.1,2012
3682,vermont south,211041273,2.2,2012
3683,chirnside park,211051275,3.7,2012
3684,kilsyth,211051277,4.7,2012
3685,montrose,211051280,3.0,2012
3686,mooroolbark,211051281,4.6,2012
3687,mount evelyn,211051283,3.8,2012
3689,koo wee rup,212011290,4.9,2012
3690,doveton,212021295,18.7,2012
3691,hallam,212021297,9.2,2012
3692,narre warren north,212021299,1.9,2012
3693,cranbourne,212031300,10.4,2012
3694,cranbourne east,212031301,4.4,2012
3695,cranbourne north,212031302,7.3,2012
3696,cranbourne south,212031303,3.3,2012
3697,cranbourne west,212031304,8.4,2012
3698,clayton south,212041310,5.0,2012
3699,dandenong,212041311,19.8,2012
3700,dandenong north,212041312,11.1,2012
3701,dingley village,212041313,2.1,2012
3702,keysborough,212041314,5.8,2012
3703,noble park north,212041316,7.3,2012
3704,springvale,212041317,8.2,2012
3705,springvale south,212041318,7.7,2012
3706,clayton,212051320,3.9,2012
3707,mulgrave,212051325,3.7,2012
3708,wheelers hill,212051327,2.3,2012
3709,cairnlea,213011329,7.0,2012
3710,delahey,213011331,9.8,2012
3711,keilor downs,213011332,7.3,2012
3712,kings park,213011333,13.4,2012
3713,sunshine,213011336,14.2,2012
3714,sunshine north,213011337,15.4,2012
3715,sunshine west,213011338,13.5,2012
3716,sydenham,213011339,5.9,2012
3717,taylors lakes,213011340,4.0,2012
3718,altona,213021341,4.7,2012
3719,altona meadows,213021342,7.0,2012
3720,altona north,213021343,9.9,2012
3721,newport,213021344,3.9,2012
3722,seabrook,213021345,5.4,2012
3723,williamstown,213021346,3.4,2012
3724,braybrook,213031347,13.5,2012
3725,footscray,213031348,9.4,2012
3726,maribyrnong,213031349,3.7,2012
3727,yarraville,213031352,4.4,2012
3728,bacchus marsh,213041353,6.4,2012
3729,hillside,213041355,4.2,2012
3730,melton,213041356,11.5,2012
3731,melton south,213041357,11.2,2012
3732,melton west,213041358,8.6,2012
3733,taylors hill,213041360,3.7,2012
3734,laverton,213051363,13.6,2012
3735,tarneit,213051365,5.9,2012
3736,truganina,213051366,6.0,2012
3737,wyndham vale,213051369,8.3,2012
3738,carrum downs,214011370,6.0,2012
3739,frankston,214011371,9.1,2012
3740,frankston north,214011372,13.8,2012
3741,frankston south,214011373,2.8,2012
3742,langwarrin,214011374,3.1,2012
3743,seaford,214011375,7.1,2012
3744,dromana,214021377,5.1,2012
3745,flinders,214021378,1.7,2012
3746,mornington,214021380,4.5,2012
3747,mount eliza,214021381,1.6,2012
3748,mount martha,214021382,2.3,2012
3750,somerville,214021385,4.0,2012
3751,ararat,215011386,4.9,2012
3752,ararat,215011387,2.2,2012
3753,horsham,215011388,3.5,2012
3754,horsham,215011389,1.6,2012
3756,st arnaud,215011391,4.3,2012
3757,stawell,215011392,4.0,2012
3760,irymple,215021395,2.7,2012
3761,merbein,215021396,5.7,2012
3762,mildura,215021398,2.6,2012
3763,red cliffs,215021399,5.3,2012
3765,gannawarra,215031401,2.8,2012
3766,kerang,215031402,4.3,2012
3767,robinvale,215031403,4.4,2012
3768,swan hill,215031404,4.4,2012
3769,swan hill,215031405,3.0,2012
3770,echuca,216011406,6.3,2012
3771,kyabram,216011407,6.2,2012
3772,rochester,216011409,5.4,2012
3773,rushworth,216011410,6.5,2012
3774,cobram,216021411,8.5,2012
3776,numurkah,216021413,6.3,2012
3777,yarrawonga,216021414,5.4,2012
3778,mooroopna,216031415,10.0,2012
3780,hamilton,217011421,6.3,2012
3781,portland,217011422,7.6,2012
3783,camperdown,217031471,5.2,2012
3784,colac,217031472,7.4,2012
3785,colac colac,217031473,5.4,2012
3787,gunbower,216011408,3.1,2012
3788,lockington,216011408,3.1,2012
3789,mccrae,214021384,8.7,2012
3790,rosebud,214021384,8.7,2012
3791,somers,214021379,6.4,2012
3792,hastings,214021379,6.4,2012
3793,sandhurst,214011376,3.0,2012
3794,skye,214011376,3.0,2012
3795,mount cottrell,213041359,11.7,2012
3796,rockbank,213041359,11.7,2012
3797,tottenham,213031351,6.6,2012
3798,west footscray,213031351,6.6,2012
3799,kingsville,213031350,5.5,2012
3800,seddon,213031350,5.5,2012
3801,derrimut,213011330,9.0,2012
3802,deer park,213011330,9.0,2012
3803,albion,213011328,14.6,2012
3804,ardeer,213011328,14.6,2012
3805,huntingdale,212051326,3.9,2012
3806,oakleigh,212051326,3.9,2012
3807,chadstone,212051319,4.0,2012
3808,ashwood,212051319,4.0,2012
3809,oakleigh south,212041309,4.8,2012
3810,clarinda,212041309,4.8,2012
3811,tooradin,212031308,4.4,2012
3812,pearcedale,212031308,4.4,2012
3813,lyndhurst,212031306,3.4,2012
3814,lynbrook,212031306,3.4,2012
3815,lynbrook,212031305,8.7,2012
3816,hampton park,212031305,8.7,2012
3817,cockatoo,212011289,3.8,2012
3818,emerald,212011289,3.8,2012
3819,garfield,212011288,3.9,2012
3820,bunyip,212011288,3.9,2012
3821,officer,212011287,2.9,2012
3822,beaconsfield,212011287,2.9,2012
3823,seville,211051285,2.7,2012
3825,tecoma,211051284,4.3,2012
3826,upwey,211051284,4.3,2012
3827,olinda,211051282,3.0,2012
3828,mount dandenong,211051282,3.0,2012
3829,silvan,211051279,3.4,2012
3830,monbulk,211051279,3.4,2012
3831,coldstream,211051278,3.8,2012
3832,lilydale,211051278,3.8,2012
3833,yarra glen,211051276,5.0,2012
3834,healesville,211051276,5.0,2012
3835,selby,211051274,4.2,2012
3836,belgrave,211051274,4.2,2012
3837,warranwood,211031265,2.3,2012
3838,croydon hills,211031265,2.3,2012
3839,wonga park,211021262,1.6,2012
3840,warrandyte,211021262,1.6,2012
3841,park orchards,211021261,2.3,2012
3842,donvale,211021261,2.3,2012
3844,rowville,211011256,3.4,2012
3845,scoresby,211011254,4.3,2012
3846,knoxfield,211011254,4.3,2012
3847,somerton,210051249,9.6,2012
3848,roxburgh park,210051249,9.6,2012
3849,westmeadows,210051245,4.2,2012
3850,gladstone park,210051245,4.2,2012
3851,coolaroo,210051243,17.3,2012
3852,campbellfield,210051243,17.3,2012
3853,essendon west,210011230,1.8,2012
3854,niddrie,210011230,1.8,2012
3855,diamond creek,209031215,2.3,2012
3856,wattle glen,209031215,2.3,2012
3857,north warrandyte,209031214,1.6,2012
3858,research,209031214,1.6,2012
3859,yarrambat,209031213,2.1,2012
3860,plenty,209031213,2.1,2012
3861,st andrews,209031212,3.6,2012
3862,panton hill,209031212,3.6,2012
3863,yallambie,209011203,3.4,2012
3864,viewbank,209011203,3.4,2012
3865,briar hill,209011202,3.7,2012
3866,montmorency,209011202,3.7,2012
3867,eaglemont,209011201,1.5,2012
3868,ivanhoe east,209011201,1.5,2012
3869,rosanna,209011198,3.3,2012
3870,heidelberg,209011198,3.3,2012
3871,glen iris,208041194,3.4,2012
3872,malvern,208041194,3.4,2012
3873,parkdale,208031193,5.6,2012
3874,mordialloc,208031193,5.6,2012
3875,heatherton,208031191,6.7,2012
3876,moorabbin,208031191,6.7,2012
3877,aspendale,208031189,6.3,2012
3878,edithvale,208031189,6.3,2012
3879,highett,208031188,7.2,2012
3880,cheltenham,208031188,7.2,2012
3881,bonbeach,208031186,9.4,2012
3882,chelsea,208031186,9.4,2012
3883,patterson lakes,208031185,8.0,2012
3884,carrum,208031185,8.0,2012
3885,waterways,208031183,3.9,2012
3886,aspendale gardens,208031183,3.9,2012
3887,glen huntly,208021182,4.7,2012
3888,ormond,208021182,4.7,2012
3889,mckinnon,208021174,4.3,2012
3890,bentleigh,208021174,4.3,2012
3891,black rock,208011173,3.3,2012
3892,sandringham,208011173,3.3,2012
3893,highett,208011171,6.6,2012
3894,cheltenham,208011171,6.6,2012
3895,mont albert,207031167,2.8,2012
3896,surrey hills,207031167,2.8,2012
3897,canterbury,207011155,2.1,2012
3898,surrey hills,207011155,2.1,2012
3899,princes hill,206071140,4.5,2012
3900,carlton north,206071140,4.5,2012
3901,windsor,206061136,3.7,2012
3902,prahran,206061136,3.7,2012
3903,aberfeldie,206031114,3.2,2012
3904,essendon,206031114,3.2,2012
3905,fairfield,206021110,4.4,2012
3906,alphington,206021110,4.4,2012
3907,loch sport,205051100,5.0,2012
3908,longford,205051100,5.0,2012
3909,glengarry,205041098,3.6,2012
3910,yallourn north,205041098,3.6,2012
3911,newborough,205041095,9.8,2012
3912,moe,205041095,9.8,2012
3913,inverloch,205031093,5.1,2012
3914,wonthaggi,205031093,5.1,2012
3915,omeo,205021082,4.0,2012
3916,bruthen,205021082,4.0,2012
3917,indigo valley,204031070,3.9,2012
3918,chiltern,204031070,3.9,2012
3919,mount beauty,204031069,4.4,2012
3920,bright,204031069,4.4,2012
3921,broadford,204011056,5.0,2012
3922,kilmore,204011056,5.0,2012
3923,queenscliff,203031052,2.6,2012
3924,point lonsdale,203031052,2.6,2012
3925,barwon heads,203031050,3.8,2012
3926,ocean grove,203031050,3.8,2012
3927,anglesea,203031049,3.0,2012
3928,lorne,203031049,3.0,2012
3929,bell park,203021047,8.1,2012
3930,north geelong,203021047,8.1,2012
3931,moolap,203021045,10.4,2012
3932,newcomb,203021045,10.4,2012
3933,hamlyn heights,203021040,5.8,2012
3934,geelong west,203021040,5.8,2012
3935,norlane,203021038,17.5,2012
3936,corio,203021038,17.5,2012
3937,ascot,202011025,4.3,2012
3938,white hills,202011025,4.3,2012
3939,golden square,202011022,7.3,2012
3940,kangaroo flat,202011022,7.3,2012
3941,spring gully,202011021,5.8,2012
3942,flora hill,202011021,5.8,2012
3943,kennington,202011020,5.0,2012
3944,east bendigo,202011020,5.0,2012
3945,eaglehawk,202011019,9.4,2012
3946,california gully,202011019,9.4,2012
3947,clunes,201021010,5.9,2012
3948,creswick,201021010,5.9,2012
3949,miners rest,201011008,8.9,2012
3950,wendouree,201011008,8.9,2012
5268,alfredton,201011001,2.2,2013
5269,ballarat east,201011002,4.9,2013
5270,buninyong,201011005,2.6,2013
5271,delacombe,201011006,4.3,2013
5272,smythes creek,201011007,2.3,2013
5273,bacchus marsh,201021009,2.7,2013
5274,daylesford,201021011,4.3,2013
5275,gordon,201021012,3.4,2013
5276,avoca,201031013,5.9,2013
5277,beaufort,201031014,5.1,2013
5278,maryborough,201031016,8.9,2013
5279,maryborough,201031017,7.0,2013
5280,bendigo,202011018,11.5,2013
5281,maiden gully,202011023,3.0,2013
5282,strathfieldsaye,202011024,2.6,2013
5283,castlemaine,202021027,7.1,2013
5284,castlemaine,202021028,6.9,2013
5285,heathcote,202021029,11.0,2013
5286,kyneton,202021030,5.3,2013
5287,woodend,202021031,3.8,2013
5289,bannockburn,203011034,2.8,2013
5290,winchelsea,203011036,4.1,2013
5291,belmont,203021037,5.9,2013
5292,geelong,203021039,6.4,2013
5293,grovedale,203021041,4.4,2013
5294,highton,203021042,2.6,2013
5295,lara,203021043,4.1,2013
5296,leopold,203021044,4.1,2013
5297,newtown,203021046,3.8,2013
5298,clifton springs,203031048,4.9,2013
5299,portarlington,203031051,8.8,2013
5300,torquay,203031053,2.7,2013
5301,alexandra,204011054,4.5,2013
5302,euroa,204011055,5.1,2013
5303,mansfield,204011057,4.0,2013
5304,nagambie,204011058,5.6,2013
5305,seymour,204011059,11.1,2013
5307,yea,204011062,4.5,2013
5308,benalla,204021063,8.2,2013
5309,benalla,204021064,3.9,2013
5310,rutherglen,204021065,4.8,2013
5311,wangaratta,204021066,6.8,2013
5312,wangaratta,204021067,3.4,2013
5313,beechworth,204031068,3.8,2013
5314,myrtleford,204031071,4.2,2013
5315,towong,204031072,4.8,2013
5316,west wodonga,204031073,5.6,2013
5317,wodonga,204031074,7.1,2013
5318,yackandandah,204031075,3.3,2013
5319,drouin,205011076,4.5,2013
5321,trafalgar,205011078,3.5,2013
5322,warragul,205011079,3.4,2013
5323,bairnsdale,205021081,6.0,2013
5324,lakes entrance,205021084,7.1,2013
5325,orbost,205021085,7.2,2013
5326,paynesville,205021086,5.2,2013
5327,foster,205031087,3.6,2013
5328,korumburra,205031089,3.8,2013
5329,leongatha,205031090,2.9,2013
5331,churchill,205041094,4.9,2013
5332,morwell,205041096,11.6,2013
5333,traralgon,205041097,4.5,2013
5334,maffra,205051101,4.0,2013
5335,rosedale,205051102,3.2,2013
5336,sale,205051103,4.7,2013
5337,yarram,205051104,5.0,2013
5338,brunswick,206011105,8.7,2013
5339,brunswick east,206011106,6.2,2013
5340,brunswick west,206011107,8.6,2013
5341,coburg,206011108,9.4,2013
5342,pascoe vale south,206011109,6.1,2013
5343,northcote,206021111,6.5,2013
5344,thornbury,206021112,8.4,2013
5345,ascot vale,206031113,9.7,2013
5346,flemington,206031115,14.1,2013
5347,moonee ponds,206031116,4.4,2013
5348,carlton,206041117,7.9,2013
5349,docklands,206041118,2.6,2013
5350,east melbourne,206041119,2.2,2013
5351,kensington,206041121,6.1,2013
5352,melbourne,206041122,3.0,2013
5353,north melbourne,206041123,8.7,2013
5354,parkville,206041124,3.8,2013
5355,southbank,206041126,2.4,2013
5356,albert park,206051128,2.7,2013
5357,elwood,206051129,4.4,2013
5358,port melbourne,206051130,4.3,2013
5359,south melbourne,206051132,5.8,2013
5360,st kilda,206051133,6.3,2013
5361,st kilda east,206051134,5.9,2013
5362,armadale,206061135,3.2,2013
5363,toorak,206061138,2.8,2013
5364,abbotsford,206071139,5.5,2013
5365,collingwood,206071141,12.8,2013
5366,fitzroy,206071142,12.0,2013
5367,fitzroy north,206071143,6.8,2013
5368,richmond,206071144,6.0,2013
5369,ashburton,207011146,6.2,2013
5370,balwyn,207011147,4.3,2013
5371,balwyn north,207011148,4.3,2013
5372,camberwell,207011149,3.2,2013
5373,hawthorn,207011151,3.8,2013
5374,hawthorn east,207011152,3.6,2013
5375,kew,207011153,3.0,2013
5376,kew east,207011154,4.4,2013
5377,bulleen,207021156,6.8,2013
5378,doncaster,207021157,8.6,2013
5379,templestowe,207021159,4.9,2013
5380,templestowe lower,207021160,5.9,2013
5381,blackburn,207031161,5.8,2013
5382,blackburn south,207031162,7.0,2013
5383,box hill,207031163,8.2,2013
5384,box hill north,207031164,7.3,2013
5385,burwood,207031165,8.5,2013
5386,burwood east,207031166,6.1,2013
5387,beaumaris,208011168,2.4,2013
5388,brighton,208011169,3.2,2013
5389,brighton east,208011170,3.3,2013
5390,hampton,208011172,5.0,2013
5391,carnegie,208021176,4.5,2013
5392,elsternwick,208021179,5.4,2013
5393,hughesdale,208021180,6.2,2013
5394,murrumbeena,208021181,5.0,2013
5395,chelsea heights,208031187,8.5,2013
5396,mentone,208031190,6.0,2013
5397,malvern east,208041195,3.6,2013
5398,greensborough,209011197,3.6,2013
5399,heidelberg west,209011199,11.8,2013
5400,ivanhoe,209011200,2.6,2013
5401,watsonia,209011204,4.9,2013
5402,kingsbury,209021205,3.2,2013
5403,eltham,209031209,2.3,2013
5404,hurstbridge,209031210,3.3,2013
5405,kinglake,209031211,5.5,2013
5406,lalor,209041219,12.7,2013
5407,thomastown,209041223,11.9,2013
5408,wallan,209041224,5.1,2013
5409,whittlesea,209041225,3.9,2013
5410,airport west,210011226,4.5,2013
5411,keilor,210011228,3.5,2013
5412,keilor east,210011229,3.6,2013
5413,strathmore,210011231,2.3,2013
5414,gisborne,210021232,3.0,2013
5415,macedon,210021233,2.5,2013
5416,riddells creek,210021234,2.4,2013
5417,romsey,210021235,4.0,2013
5418,coburg north,210031236,6.3,2013
5419,fawkner,210031237,8.4,2013
5420,pascoe vale,210031239,4.2,2013
5421,sunbury,210041240,4.4,2013
5422,broadmeadows,210051242,23.6,2013
5423,meadow heights,210051247,20.8,2013
5424,melbourne airport,210051248,3.3,2013
5425,tullamarine,210051250,6.1,2013
5426,bayswater,211011251,6.4,2013
5427,lysterfield,211011255,2.3,2013
5428,wantirna,211011259,4.2,2013
5429,wantirna south,211011260,3.7,2013
5430,bayswater north,211031263,5.7,2013
5431,ringwood,211031266,8.2,2013
5432,ringwood east,211031267,5.8,2013
5433,ringwood north,211031268,2.4,2013
5434,forest hill,211041269,4.4,2013
5435,mitcham,211041270,3.7,2013
5436,nunawading,211041271,4.2,2013
5437,vermont,211041272,3.2,2013
5438,vermont south,211041273,2.5,2013
5439,chirnside park,211051275,4.2,2013
5440,kilsyth,211051277,5.9,2013
5441,montrose,211051280,3.4,2013
5442,mooroolbark,211051281,5.6,2013
5443,mount evelyn,211051283,4.5,2013
5445,koo wee rup,212011290,5.2,2013
5446,doveton,212021295,19.5,2013
5447,hallam,212021297,9.8,2013
5448,narre warren north,212021299,2.0,2013
5449,cranbourne,212031300,10.9,2013
5450,cranbourne east,212031301,4.9,2013
5451,cranbourne north,212031302,7.0,2013
5452,cranbourne south,212031303,3.6,2013
5453,cranbourne west,212031304,8.2,2013
5454,clayton south,212041310,5.4,2013
5455,dandenong,212041311,21.1,2013
5456,dandenong north,212041312,11.3,2013
5457,dingley village,212041313,2.4,2013
5458,keysborough,212041314,6.0,2013
5459,noble park north,212041316,8.5,2013
5460,springvale,212041317,9.2,2013
5461,springvale south,212041318,9.2,2013
5462,clayton,212051320,4.3,2013
5463,mulgrave,212051325,3.9,2013
5464,wheelers hill,212051327,2.1,2013
5465,cairnlea,213011329,6.7,2013
5466,delahey,213011331,9.1,2013
5467,keilor downs,213011332,6.8,2013
5468,kings park,213011333,12.9,2013
5469,sunshine,213011336,12.4,2013
5470,sunshine north,213011337,15.1,2013
5471,sunshine west,213011338,12.6,2013
5472,sydenham,213011339,5.8,2013
5473,taylors lakes,213011340,3.9,2013
5474,altona,213021341,4.5,2013
5475,altona meadows,213021342,6.5,2013
5476,altona north,213021343,8.8,2013
5477,newport,213021344,3.4,2013
5478,seabrook,213021345,4.9,2013
5479,williamstown,213021346,3.0,2013
5480,braybrook,213031347,12.7,2013
5481,footscray,213031348,8.6,2013
5482,maribyrnong,213031349,3.7,2013
5483,yarraville,213031352,3.7,2013
5484,bacchus marsh,213041353,5.7,2013
5485,hillside,213041355,4.0,2013
5486,melton,213041356,10.8,2013
5487,melton south,213041357,10.7,2013
5488,melton west,213041358,8.5,2013
