,coordinates,cost_text,desc,name,rooms
https://www.domain.com.au/10-merriang-south-road-myrtleford-vic-3737-13488474,"[-36.5798417, 146.6969239]","$2,800","Buffalo River Homestead is located near Myrtleford, 5kms out of town situated on the beautiful Buffalo River. The property has a large garden, private river access and BBQ facilities with plenty of room to sit back and relax the views.",10 Merriang South Road Myrtleford VIC 3737,"['3 Beds', '2 Baths', '2 Parking']"
https://www.domain.com.au/34-o-donnell-avenue-myrtleford-vic-3737-13184727,"[-36.5542898, 146.7275234]",$250 per night*,"Situated right in the heart of Myrtleford and within walking distance to all the towns cafe's and restaurants, 'The Cottage' is the perfect base for exploring all the North East has to offer. Day trips to Beechworth, Bright, Mt Buffalo and the ski fields are all within easy reach. Close to the Murray to Mountains Rail Trail and several local wineries, your time here will be as relaxing or action",34 O'Donnell Avenue Myrtleford VIC 3737,"['3 Beds', '1 Bath']"
https://www.domain.com.au/52-prince-street-myrtleford-vic-3737-13151319,"[-36.5549117, 146.7227004]",160 per night,"Villa Asolana is a beautiful cottage in a garden setting.
This family size, 2 bedroom cottage offers a main bedroom with a queen bed. The 2nd bedroom offers a queen bed + 1 single bed. A separate lounge with a fully equipped kitchen to give you all the home comforts. The bathroom and separate toilet adds to the comfort along with a reverse cycle air conditioning, TV, Microwave, oven, toaster",52 Prince Street Myrtleford VIC 3737,"['2 Beds', '1 Bath', '2 Parking']"
https://www.domain.com.au/o-donnell-ave-myrtleford-vic-3737-11882522,"[-36.5522656, 146.7271339]",From $280 per night,"This 4 Bedroom, 2 bathroom holiday, house is available for Short, Extended or Long stays. The property sleeps 7 comfortably with an option for one extra on single fold away mattress, if requested, with a small extra fee - $15 per person. Tariff: $280 per night with 2 nights minimum. Public Holidays/School Holidays - 3 night minimum. Bedding configuration is 3 Queen Size beds + double bunk king",O'Donnell Ave Myrtleford VIC 3737,"['4 Beds', '2 Baths', '4 Parking']"
https://www.domain.com.au/65a-p-elgin-street-myrtleford-vic-3737-10894068,"[-36.565282, 146.7312035]",$185 per night,"SAJE'S Pod
Pod - sleeps 2 - 1 bedroom, 1 bathroom - $185 per night
Nestled below historic Reform Hill, this recently constructed Holiday stay provides luxurious decor in a bush setting. Situated on an elevated block, the property has panoramic views over the valley and township below from a lofty position on the edge of town. The two levels of this pod includes a living room and kitchenette with",65A P Elgin Street Myrtleford VIC 3737,"['1 Bed', '1 Bath', '2 Parking']"
https://www.domain.com.au/65a-elgin-street-myrtleford-vic-3737-10894049,"[-36.565282, 146.7312035]",$270 per night,"SAJE'S House 
House - Sleeps 4 - 2 bedroom 2 bathroom - $270 per night
Nestled below historic Reform Hill, this recently constructed Holiday stay provides luxurious decor in a bush setting. Situated on an elevated block, the property has panoramic views over the valley and township below from a lofty position on the edge of town. Open plan living in the main lodge style master wing, comprises 2",65A Elgin Street Myrtleford VIC 3737,"['2 Beds', '2 Baths']"
https://www.domain.com.au/5-alice-street-myrtleford-vic-3737-8715595,"[-36.5642811, 146.7293962]",$210 per night,"Spacious, newly built contemporary cottage in town - right next door to the Rail Trail. Polished timber floors feature throughout the living and sleeping areas with tiles in the bathroom. The cottage is cool in summer and warm in winter with split system air conditioning providing year round comfort. With two bedrooms, the property can sleep up to four people in the two queen beds. A European",5 Alice Street Myrtleford VIC 3737,"['2 Beds', '1 Bath', '1 Parking']"
https://www.domain.com.au/13-robertson-street-myrtleford-vic-3737-8411348,"[-36.5600466, 146.728529]",From $150 per night,"A charming cottage, ideal for your high country escape, is now available for short term stay. Fully furnished and equipped it offers comfortable accommodation with a cosy cottage ambience in a pretty garden setting. Ideally located in the heart of Myrtleford's historic precinct, you can enjoy an easy stroll to shops and eateries close to the Murray to Mountains Rail Trail and Reform Hill Walking",13 Robertson Street Myrtleford VIC 3737,"['2 Beds', '1 Bath', '2 Parking']"
https://www.domain.com.au/38-buffalo-creek-road-myrtleford-vic-3737-8304083,"[-36.5781606, 146.7068584]",From $800 per night,"TATOONIE is a 6-star property set in the tranquil Buffalo Creek valley only one minute outside of Myrtleford, encompassing stunning views of Myrtleford, Mt Buffalo, vineyards and beyond. This is quite simply the best property in the Alpine area.
For snow fans, you have the luxury of skiing Falls Creek or Mt Hotham during your stay coming home to a hot Sauna to soothe those tired muscles. Only a",38 Buffalo Creek Road Myrtleford VIC 3737,"['5 Beds', '2 Baths', '4 Parking']"
https://www.domain.com.au/27c-clyde-st-myrtleford-vic-3737-8193367,"[-36.5607154, 146.7255893]",From $190 per night,"APARTMENT 27 is a newly constructed upstairs apartment located in the centre of the Myrtleford. It features two bedrooms, one queen &amp; two singles (or zip up king), and attractive bathroom with monsoon showerhead. Enjoy time with family &amp; friends in the spacious open plan living with fully equipped kitchen, sofas, 50 inch flat screen TV &amp; DVD, and dining setting for eight. Step outside to the",27C Clyde St Myrtleford VIC 3737,"['2 Beds', '1 Bath', '1 Parking']"
